Categoría: Religión y creencias

Semana,Oración: (España)
2018-12-30,53
2019-01-06,52
2019-01-13,56
2019-01-20,56
2019-01-27,58
2019-02-03,57
2019-02-10,59
2019-02-17,58
2019-02-24,58
2019-03-03,57
2019-03-10,62
2019-03-17,63
2019-03-24,58
2019-03-31,59
2019-04-07,60
2019-04-14,60
2019-04-21,60
2019-04-28,60
2019-05-05,73
2019-05-12,69
2019-05-19,68
2019-05-26,66
2019-06-02,60
2019-06-09,58
2019-06-16,65
2019-06-23,62
2019-06-30,59
2019-07-07,54
2019-07-14,60
2019-07-21,64
2019-07-28,60
2019-08-04,63
2019-08-11,58
2019-08-18,56
2019-08-25,58
2019-09-01,57
2019-09-08,55
2019-09-15,51
2019-09-22,57
2019-09-29,55
2019-10-06,62
2019-10-13,55
2019-10-20,55
2019-10-27,59
2019-11-03,56
2019-11-10,59
2019-11-17,58
2019-11-24,56
2019-12-01,59
2019-12-08,62
2019-12-15,56
2019-12-22,52
2019-12-29,55
2020-01-05,60
2020-01-12,55
2020-01-19,54
2020-01-26,56
2020-02-02,65
2020-02-09,60
2020-02-16,57
2020-02-23,63
2020-03-01,62
2020-03-08,63
2020-03-15,84
2020-03-22,100
2020-03-29,96
2020-04-05,99
