Categoría: Religión y creencias

Día,Religión: (Bélgica)
2018-12-30,30
2018-12-31,0
2019-01-01,24
2019-01-02,0
2019-01-03,0
2019-01-04,0
2019-01-05,24
2019-01-06,38
2019-01-07,22
2019-01-08,25
2019-01-09,26
2019-01-10,36
2019-01-11,32
2019-01-12,28
2019-01-13,40
2019-01-14,100
2019-01-15,87
2019-01-16,50
2019-01-17,41
2019-01-18,0
2019-01-19,47
2019-01-20,30
2019-01-21,32
2019-01-22,36
2019-01-23,34
2019-01-24,25
2019-01-25,19
2019-01-26,45
2019-01-27,30
2019-01-28,27
2019-01-29,28
2019-01-30,24
2019-01-31,25
2019-02-01,19
2019-02-02,22
2019-02-03,35
2019-02-04,31
2019-02-05,29
2019-02-06,35
2019-02-07,25
2019-02-08,0
2019-02-09,29
2019-02-10,39
2019-02-11,31
2019-02-12,20
2019-02-13,22
2019-02-14,20
2019-02-15,0
2019-02-16,39
2019-02-17,31
2019-02-18,44
2019-02-19,33
2019-02-20,23
2019-02-21,34
2019-02-22,24
2019-02-23,40
2019-02-24,28
2019-02-25,32
2019-02-26,34
2019-02-27,23
2019-02-28,23
2019-03-01,42
2019-03-02,0
2019-03-03,21
2019-03-04,25
2019-03-05,24
2019-03-06,30
2019-03-07,0
2019-03-08,28
2019-03-09,20
2019-03-10,37
2019-03-11,27
2019-03-12,25
2019-03-13,28
2019-03-14,29
2019-03-15,37
2019-03-16,31
2019-03-17,27
2019-03-18,19
2019-03-19,31
2019-03-20,26
2019-03-21,23
2019-03-22,0
2019-03-23,28
2019-03-24,22
2019-03-25,38
2019-03-26,30
2019-03-27,30
2019-03-28,37
2019-03-29,0
2019-03-30,42
2019-03-31,0
2019-04-01,28
2019-04-02,36
2019-04-03,20
2019-04-04,35
2019-04-05,19
2019-04-06,27
2019-04-07,0
2019-04-08,0
2019-04-09,24
2019-04-10,0
