Categoría: Religión y creencias

Día,Religión: (Italia)
2018-12-30,67
2018-12-31,77
2019-01-01,62
2019-01-02,65
2019-01-03,66
2019-01-04,68
2019-01-05,67
2019-01-06,100
2019-01-07,70
2019-01-08,86
2019-01-09,84
2019-01-10,83
2019-01-11,68
2019-01-12,59
2019-01-13,71
2019-01-14,73
2019-01-15,75
2019-01-16,83
2019-01-17,88
2019-01-18,68
2019-01-19,68
2019-01-20,80
2019-01-21,69
2019-01-22,73
2019-01-23,78
2019-01-24,74
2019-01-25,81
2019-01-26,69
2019-01-27,87
2019-01-28,73
2019-01-29,73
2019-01-30,65
2019-01-31,59
2019-02-01,67
2019-02-02,64
2019-02-03,72
2019-02-04,91
2019-02-05,64
2019-02-06,77
2019-02-07,75
2019-02-08,77
2019-02-09,58
2019-02-10,59
2019-02-11,73
2019-02-12,75
2019-02-13,65
2019-02-14,76
2019-02-15,67
2019-02-16,64
2019-02-17,63
2019-02-18,74
2019-02-19,85
2019-02-20,73
2019-02-21,55
2019-02-22,63
2019-02-23,69
2019-02-24,74
2019-02-25,57
2019-02-26,63
2019-02-27,75
2019-02-28,69
2019-03-01,62
2019-03-02,79
2019-03-03,64
2019-03-04,64
2019-03-05,58
2019-03-06,56
2019-03-07,66
2019-03-08,55
2019-03-09,52
2019-03-10,81
2019-03-11,71
2019-03-12,73
2019-03-13,64
2019-03-14,63
2019-03-15,72
2019-03-16,67
2019-03-17,80
2019-03-18,80
2019-03-19,72
2019-03-20,82
2019-03-21,69
2019-03-22,58
2019-03-23,77
2019-03-24,75
2019-03-25,68
2019-03-26,78
2019-03-27,82
2019-03-28,87
2019-03-29,70
2019-03-30,71
2019-03-31,88
2019-04-01,71
2019-04-02,71
2019-04-03,85
2019-04-04,73
2019-04-05,63
2019-04-06,61
2019-04-07,80
2019-04-08,69
2019-04-09,75
2019-04-10,84
