Categoría: Religión y creencias

Día,Religión: (Países Bajos)
2018-12-30,70
2018-12-31,41
2019-01-01,37
2019-01-02,60
2019-01-03,64
2019-01-04,70
2019-01-05,76
2019-01-06,100
2019-01-07,89
2019-01-08,62
2019-01-09,67
2019-01-10,76
2019-01-11,62
2019-01-12,69
2019-01-13,76
2019-01-14,74
2019-01-15,78
2019-01-16,71
2019-01-17,70
2019-01-18,51
2019-01-19,51
2019-01-20,96
2019-01-21,69
2019-01-22,47
2019-01-23,58
2019-01-24,76
2019-01-25,58
2019-01-26,70
2019-01-27,79
2019-01-28,72
2019-01-29,63
2019-01-30,51
2019-01-31,49
2019-02-01,61
2019-02-02,60
2019-02-03,72
2019-02-04,69
2019-02-05,85
2019-02-06,87
2019-02-07,82
2019-02-08,58
2019-02-09,74
2019-02-10,80
2019-02-11,76
2019-02-12,55
2019-02-13,70
2019-02-14,84
2019-02-15,70
2019-02-16,59
2019-02-17,75
2019-02-18,65
2019-02-19,71
2019-02-20,80
2019-02-21,92
2019-02-22,60
2019-02-23,85
2019-02-24,55
2019-02-25,63
2019-02-26,67
2019-02-27,63
2019-02-28,48
2019-03-01,53
2019-03-02,46
2019-03-03,95
2019-03-04,76
2019-03-05,81
2019-03-06,60
2019-03-07,73
2019-03-08,61
2019-03-09,61
2019-03-10,61
2019-03-11,77
2019-03-12,54
2019-03-13,53
2019-03-14,59
2019-03-15,99
2019-03-16,56
2019-03-17,66
2019-03-18,82
2019-03-19,84
2019-03-20,71
2019-03-21,89
2019-03-22,89
2019-03-23,62
2019-03-24,77
2019-03-25,73
2019-03-26,73
2019-03-27,79
2019-03-28,76
2019-03-29,75
2019-03-30,78
2019-03-31,75
2019-04-01,60
2019-04-02,80
2019-04-03,75
2019-04-04,86
2019-04-05,70
2019-04-06,59
2019-04-07,79
2019-04-08,74
2019-04-09,73
2019-04-10,57
