Categoría: Religión y creencias

Día,Religión: (Francia)
2019-12-30,63
2019-12-31,59
2020-01-01,66
2020-01-02,61
2020-01-03,74
2020-01-04,74
2020-01-05,76
2020-01-06,71
2020-01-07,70
2020-01-08,63
2020-01-09,65
2020-01-10,65
2020-01-11,55
2020-01-12,67
2020-01-13,60
2020-01-14,67
2020-01-15,61
2020-01-16,59
2020-01-17,55
2020-01-18,63
2020-01-19,75
2020-01-20,59
2020-01-21,55
2020-01-22,66
2020-01-23,71
2020-01-24,58
2020-01-25,59
2020-01-26,86
2020-01-27,74
2020-01-28,68
2020-01-29,70
2020-01-30,77
2020-01-31,55
2020-02-01,60
2020-02-02,86
2020-02-03,77
2020-02-04,81
2020-02-05,73
2020-02-06,70
2020-02-07,60
2020-02-08,69
2020-02-09,64
2020-02-10,66
2020-02-11,64
2020-02-12,63
2020-02-13,57
2020-02-14,57
2020-02-15,57
2020-02-16,61
2020-02-17,55
2020-02-18,46
2020-02-19,67
2020-02-20,56
2020-02-21,60
2020-02-22,55
2020-02-23,74
2020-02-24,59
2020-02-25,54
2020-02-26,57
2020-02-27,55
2020-02-28,51
2020-02-29,54
2020-03-01,68
2020-03-02,56
2020-03-03,58
2020-03-04,58
2020-03-05,66
2020-03-06,63
2020-03-07,62
2020-03-08,65
2020-03-09,48
2020-03-10,56
2020-03-11,48
2020-03-12,51
2020-03-13,43
2020-03-14,53
2020-03-15,46
2020-03-16,50
2020-03-17,51
2020-03-18,61
2020-03-19,72
2020-03-20,65
2020-03-21,64
2020-03-22,76
2020-03-23,81
2020-03-24,72
2020-03-25,71
2020-03-26,83
2020-03-27,72
2020-03-28,71
2020-03-29,86
2020-03-30,80
2020-03-31,79
2020-04-01,72
2020-04-02,78
2020-04-03,70
2020-04-04,90
2020-04-05,100
2020-04-06,81
2020-04-07,73
