Categoría: Religión y creencias

Día,Religión: (Irlanda)
2019-12-30,0
2019-12-31,0
2020-01-01,37
2020-01-02,0
2020-01-03,45
2020-01-04,74
2020-01-05,51
2020-01-06,57
2020-01-07,61
2020-01-08,47
2020-01-09,39
2020-01-10,75
2020-01-11,58
2020-01-12,37
2020-01-13,66
2020-01-14,66
2020-01-15,86
2020-01-16,78
2020-01-17,37
2020-01-18,0
2020-01-19,0
2020-01-20,55
2020-01-21,46
2020-01-22,36
2020-01-23,43
2020-01-24,32
2020-01-25,57
2020-01-26,41
2020-01-27,62
2020-01-28,0
2020-01-29,43
2020-01-30,0
2020-01-31,36
2020-02-01,36
2020-02-02,41
2020-02-03,52
2020-02-04,0
2020-02-05,53
2020-02-06,43
2020-02-07,46
2020-02-08,0
2020-02-09,0
2020-02-10,82
2020-02-11,50
2020-02-12,65
2020-02-13,58
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,35
2020-02-19,0
2020-02-20,49
2020-02-21,0
2020-02-22,0
2020-02-23,68
2020-02-24,52
2020-02-25,41
2020-02-26,61
2020-02-27,72
2020-02-28,49
2020-02-29,37
2020-03-01,68
2020-03-02,75
2020-03-03,31
2020-03-04,61
2020-03-05,58
2020-03-06,35
2020-03-07,0
2020-03-08,0
2020-03-09,52
2020-03-10,58
2020-03-11,43
2020-03-12,0
2020-03-13,46
2020-03-14,0
2020-03-15,33
2020-03-16,66
2020-03-17,36
2020-03-18,63
2020-03-19,61
2020-03-20,53
2020-03-21,38
2020-03-22,100
2020-03-23,69
2020-03-24,65
2020-03-25,84
2020-03-26,52
2020-03-27,56
2020-03-28,51
2020-03-29,57
2020-03-30,47
2020-03-31,61
2020-04-01,54
2020-04-02,53
2020-04-03,87
2020-04-04,43
2020-04-05,38
2020-04-06,36
2020-04-07,38
