Categoría: Religión y creencias

Semana,Religión: (Alemania)
2018-12-30,73
2019-01-06,86
2019-01-13,91
2019-01-20,93
2019-01-27,89
2019-02-03,77
2019-02-10,91
2019-02-17,88
2019-02-24,80
2019-03-03,82
2019-03-10,98
2019-03-17,94
2019-03-24,97
2019-03-31,90
2019-04-07,76
2019-04-14,79
2019-04-21,100
2019-04-28,87
2019-05-05,99
2019-05-12,100
2019-05-19,92
2019-05-26,77
2019-06-02,79
2019-06-09,69
2019-06-16,73
2019-06-23,69
2019-06-30,62
2019-07-07,58
2019-07-14,59
2019-07-21,54
2019-07-28,52
2019-08-04,58
2019-08-11,67
2019-08-18,78
2019-08-25,72
2019-09-01,78
2019-09-08,85
2019-09-15,85
2019-09-22,76
2019-09-29,70
2019-10-06,74
2019-10-13,72
2019-10-20,85
2019-10-27,83
2019-11-03,87
2019-11-10,95
2019-11-17,92
2019-11-24,88
2019-12-01,91
2019-12-08,87
2019-12-15,81
2019-12-22,82
2019-12-29,77
2020-01-05,93
2020-01-12,90
2020-01-19,87
2020-01-26,84
2020-02-02,81
2020-02-09,76
2020-02-16,84
2020-02-23,81
2020-03-01,88
2020-03-08,76
2020-03-15,68
2020-03-22,82
2020-03-29,87
2020-04-05,87
