Categoría: Religión y creencias

Día,Espiritualidad: (Bélgica)
2018-12-30,81
2018-12-31,0
2019-01-01,0
2019-01-02,0
2019-01-03,0
2019-01-04,0
2019-01-05,0
2019-01-06,68
2019-01-07,0
2019-01-08,83
2019-01-09,56
2019-01-10,96
2019-01-11,94
2019-01-12,62
2019-01-13,65
2019-01-14,51
2019-01-15,49
2019-01-16,73
2019-01-17,62
2019-01-18,0
2019-01-19,81
2019-01-20,73
2019-01-21,0
2019-01-22,62
2019-01-23,72
2019-01-24,0
2019-01-25,0
2019-01-26,58
2019-01-27,53
2019-01-28,0
2019-01-29,84
2019-01-30,0
2019-01-31,0
2019-02-01,0
2019-02-02,0
2019-02-03,59
2019-02-04,0
2019-02-05,0
2019-02-06,65
2019-02-07,0
2019-02-08,0
2019-02-09,0
2019-02-10,91
2019-02-11,0
2019-02-12,50
2019-02-13,62
2019-02-14,68
2019-02-15,0
2019-02-16,0
2019-02-17,0
2019-02-18,70
2019-02-19,0
2019-02-20,56
2019-02-21,0
2019-02-22,0
2019-02-23,0
2019-02-24,100
2019-02-25,51
2019-02-26,0
2019-02-27,0
2019-02-28,87
2019-03-01,56
2019-03-02,0
2019-03-03,80
2019-03-04,0
2019-03-05,64
2019-03-06,63
2019-03-07,0
2019-03-08,89
2019-03-09,0
2019-03-10,64
2019-03-11,58
2019-03-12,0
2019-03-13,88
2019-03-14,49
2019-03-15,0
2019-03-16,84
2019-03-17,56
2019-03-18,94
2019-03-19,63
2019-03-20,0
2019-03-21,93
2019-03-22,0
2019-03-23,64
2019-03-24,83
2019-03-25,0
2019-03-26,62
2019-03-27,53
2019-03-28,0
2019-03-29,57
2019-03-30,0
2019-03-31,69
2019-04-01,53
2019-04-02,58
2019-04-03,0
2019-04-04,0
2019-04-05,87
2019-04-06,0
2019-04-07,0
2019-04-08,0
2019-04-09,71
2019-04-10,57
