Categoría: Religión y creencias

Día,Espiritualidad: (Italia)
2018-12-30,50
2018-12-31,75
2019-01-01,57
2019-01-02,56
2019-01-03,40
2019-01-04,42
2019-01-05,48
2019-01-06,77
2019-01-07,50
2019-01-08,58
2019-01-09,60
2019-01-10,75
2019-01-11,50
2019-01-12,55
2019-01-13,51
2019-01-14,77
2019-01-15,38
2019-01-16,47
2019-01-17,49
2019-01-18,69
2019-01-19,54
2019-01-20,62
2019-01-21,52
2019-01-22,50
2019-01-23,63
2019-01-24,67
2019-01-25,61
2019-01-26,49
2019-01-27,62
2019-01-28,66
2019-01-29,64
2019-01-30,60
2019-01-31,64
2019-02-01,68
2019-02-02,53
2019-02-03,79
2019-02-04,68
2019-02-05,77
2019-02-06,49
2019-02-07,63
2019-02-08,54
2019-02-09,60
2019-02-10,49
2019-02-11,59
2019-02-12,45
2019-02-13,72
2019-02-14,49
2019-02-15,63
2019-02-16,68
2019-02-17,57
2019-02-18,55
2019-02-19,67
2019-02-20,69
2019-02-21,58
2019-02-22,36
2019-02-23,65
2019-02-24,66
2019-02-25,53
2019-02-26,40
2019-02-27,93
2019-02-28,46
2019-03-01,42
2019-03-02,42
2019-03-03,61
2019-03-04,42
2019-03-05,51
2019-03-06,55
2019-03-07,66
2019-03-08,34
2019-03-09,61
2019-03-10,49
2019-03-11,43
2019-03-12,62
2019-03-13,50
2019-03-14,49
2019-03-15,32
2019-03-16,66
2019-03-17,59
2019-03-18,61
2019-03-19,82
2019-03-20,100
2019-03-21,63
2019-03-22,61
2019-03-23,60
2019-03-24,79
2019-03-25,56
2019-03-26,82
2019-03-27,97
2019-03-28,49
2019-03-29,58
2019-03-30,64
2019-03-31,60
2019-04-01,66
2019-04-02,70
2019-04-03,60
2019-04-04,45
2019-04-05,72
2019-04-06,0
2019-04-07,81
2019-04-08,61
2019-04-09,59
2019-04-10,82
