Categoría: Religión y creencias

Día,Espiritualidad: (Francia)
2019-12-30,60
2019-12-31,54
2020-01-01,78
2020-01-02,61
2020-01-03,75
2020-01-04,82
2020-01-05,76
2020-01-06,62
2020-01-07,56
2020-01-08,46
2020-01-09,55
2020-01-10,69
2020-01-11,80
2020-01-12,60
2020-01-13,56
2020-01-14,71
2020-01-15,68
2020-01-16,62
2020-01-17,54
2020-01-18,71
2020-01-19,65
2020-01-20,70
2020-01-21,62
2020-01-22,67
2020-01-23,66
2020-01-24,56
2020-01-25,64
2020-01-26,62
2020-01-27,63
2020-01-28,44
2020-01-29,61
2020-01-30,58
2020-01-31,55
2020-02-01,50
2020-02-02,66
2020-02-03,65
2020-02-04,60
2020-02-05,60
2020-02-06,58
2020-02-07,55
2020-02-08,65
2020-02-09,71
2020-02-10,65
2020-02-11,50
2020-02-12,41
2020-02-13,53
2020-02-14,63
2020-02-15,68
2020-02-16,65
2020-02-17,73
2020-02-18,63
2020-02-19,71
2020-02-20,51
2020-02-21,58
2020-02-22,67
2020-02-23,67
2020-02-24,74
2020-02-25,51
2020-02-26,59
2020-02-27,55
2020-02-28,48
2020-02-29,57
2020-03-01,66
2020-03-02,51
2020-03-03,59
2020-03-04,64
2020-03-05,57
2020-03-06,63
2020-03-07,63
2020-03-08,65
2020-03-09,61
2020-03-10,70
2020-03-11,51
2020-03-12,51
2020-03-13,52
2020-03-14,62
2020-03-15,62
2020-03-16,47
2020-03-17,56
2020-03-18,61
2020-03-19,69
2020-03-20,64
2020-03-21,72
2020-03-22,100
2020-03-23,68
2020-03-24,63
2020-03-25,56
2020-03-26,73
2020-03-27,69
2020-03-28,85
2020-03-29,100
2020-03-30,65
2020-03-31,77
2020-04-01,74
2020-04-02,73
2020-04-03,75
2020-04-04,87
2020-04-05,95
2020-04-06,65
2020-04-07,81
