Categoría: Religión y creencias

Día,Espiritualidad: (Alemania)
2019-12-30,72
2019-12-31,83
2020-01-01,97
2020-01-02,95
2020-01-03,79
2020-01-04,85
2020-01-05,77
2020-01-06,66
2020-01-07,57
2020-01-08,61
2020-01-09,73
2020-01-10,66
2020-01-11,65
2020-01-12,85
2020-01-13,64
2020-01-14,65
2020-01-15,67
2020-01-16,56
2020-01-17,44
2020-01-18,56
2020-01-19,76
2020-01-20,68
2020-01-21,62
2020-01-22,70
2020-01-23,63
2020-01-24,60
2020-01-25,70
2020-01-26,60
2020-01-27,59
2020-01-28,72
2020-01-29,67
2020-01-30,62
2020-01-31,61
2020-02-01,68
2020-02-02,100
2020-02-03,53
2020-02-04,51
2020-02-05,69
2020-02-06,54
2020-02-07,51
2020-02-08,47
2020-02-09,68
2020-02-10,51
2020-02-11,56
2020-02-12,55
2020-02-13,57
2020-02-14,67
2020-02-15,74
2020-02-16,87
2020-02-17,47
2020-02-18,59
2020-02-19,64
2020-02-20,51
2020-02-21,73
2020-02-22,74
2020-02-23,65
2020-02-24,77
2020-02-25,79
2020-02-26,50
2020-02-27,59
2020-02-28,51
2020-02-29,75
2020-03-01,68
2020-03-02,71
2020-03-03,67
2020-03-04,77
2020-03-05,44
2020-03-06,67
2020-03-07,53
2020-03-08,79
2020-03-09,69
2020-03-10,65
2020-03-11,67
2020-03-12,52
2020-03-13,54
2020-03-14,66
2020-03-15,46
2020-03-16,53
2020-03-17,55
2020-03-18,68
2020-03-19,57
2020-03-20,60
2020-03-21,96
2020-03-22,67
2020-03-23,57
2020-03-24,64
2020-03-25,63
2020-03-26,53
2020-03-27,65
2020-03-28,76
2020-03-29,86
2020-03-30,64
2020-03-31,53
2020-04-01,73
2020-04-02,69
2020-04-03,58
2020-04-04,70
2020-04-05,80
2020-04-06,64
2020-04-07,86
