Categoría: Religión y creencias

Semana,Espiritualidad: (Reino Unido)
2018-12-30,82
2019-01-06,75
2019-01-13,83
2019-01-20,82
2019-01-27,74
2019-02-03,82
2019-02-10,81
2019-02-17,81
2019-02-24,79
2019-03-03,94
2019-03-10,76
2019-03-17,94
2019-03-24,84
2019-03-31,81
2019-04-07,90
2019-04-14,86
2019-04-21,80
2019-04-28,82
2019-05-05,85
2019-05-12,89
2019-05-19,84
2019-05-26,84
2019-06-02,82
2019-06-09,100
2019-06-16,96
2019-06-23,91
2019-06-30,92
2019-07-07,89
2019-07-14,89
2019-07-21,90
2019-07-28,90
2019-08-04,89
2019-08-11,89
2019-08-18,89
2019-08-25,89
2019-09-01,91
2019-09-08,91
2019-09-15,88
2019-09-22,96
2019-09-29,89
2019-10-06,88
2019-10-13,85
2019-10-20,80
2019-10-27,86
2019-11-03,99
2019-11-10,83
2019-11-17,79
2019-11-24,76
2019-12-01,79
2019-12-08,84
2019-12-15,83
2019-12-22,79
2019-12-29,95
2020-01-05,95
2020-01-12,92
2020-01-19,82
2020-01-26,91
2020-02-02,92
2020-02-09,89
2020-02-16,95
2020-02-23,96
2020-03-01,91
2020-03-08,75
2020-03-15,71
2020-03-22,70
2020-03-29,84
2020-04-05,91
