Categoría: Religión y creencias

Semana,Espiritualidad: (Francia)
2018-12-30,75
2019-01-06,64
2019-01-13,63
2019-01-20,71
2019-01-27,62
2019-02-03,66
2019-02-10,65
2019-02-17,69
2019-02-24,65
2019-03-03,66
2019-03-10,70
2019-03-17,76
2019-03-24,70
2019-03-31,66
2019-04-07,71
2019-04-14,68
2019-04-21,72
2019-04-28,62
2019-05-05,70
2019-05-12,72
2019-05-19,69
2019-05-26,69
2019-06-02,67
2019-06-09,71
2019-06-16,89
2019-06-23,64
2019-06-30,72
2019-07-07,68
2019-07-14,69
2019-07-21,70
2019-07-28,70
2019-08-04,75
2019-08-11,74
2019-08-18,72
2019-08-25,72
2019-09-01,67
2019-09-08,68
2019-09-15,71
2019-09-22,67
2019-09-29,73
2019-10-06,74
2019-10-13,75
2019-10-20,72
2019-10-27,78
2019-11-03,75
2019-11-10,76
2019-11-17,70
2019-11-24,69
2019-12-01,67
2019-12-08,63
2019-12-15,73
2019-12-22,74
2019-12-29,87
2020-01-05,77
2020-01-12,77
2020-01-19,80
2020-01-26,69
2020-02-02,75
2020-02-09,68
2020-02-16,81
2020-02-23,72
2020-03-01,75
2020-03-08,71
2020-03-15,75
2020-03-22,91
2020-03-29,97
2020-04-05,100
