Categoría: Religión y creencias

Semana,Espiritualidad: (Países Bajos)
2018-12-30,82
2019-01-06,79
2019-01-13,84
2019-01-20,83
2019-01-27,75
2019-02-03,74
2019-02-10,78
2019-02-17,82
2019-02-24,71
2019-03-03,76
2019-03-10,73
2019-03-17,75
2019-03-24,77
2019-03-31,73
2019-04-07,74
2019-04-14,77
2019-04-21,69
2019-04-28,68
2019-05-05,84
2019-05-12,79
2019-05-19,73
2019-05-26,82
2019-06-02,84
2019-06-09,79
2019-06-16,77
2019-06-23,84
2019-06-30,88
2019-07-07,87
2019-07-14,72
2019-07-21,83
2019-07-28,78
2019-08-04,96
2019-08-11,78
2019-08-18,86
2019-08-25,86
2019-09-01,91
2019-09-08,84
2019-09-15,82
2019-09-22,87
2019-09-29,78
2019-10-06,84
2019-10-13,87
2019-10-20,100
2019-10-27,90
2019-11-03,86
2019-11-10,91
2019-11-17,92
2019-11-24,77
2019-12-01,76
2019-12-08,80
2019-12-15,88
2019-12-22,88
2019-12-29,84
2020-01-05,93
2020-01-12,89
2020-01-19,87
2020-01-26,89
2020-02-02,79
2020-02-09,83
2020-02-16,91
2020-02-23,90
2020-03-01,91
2020-03-08,81
2020-03-15,74
2020-03-22,81
2020-03-29,81
2020-04-05,87
