Categoría: Religión y creencias

Semana,Espiritualidad: (Portugal)
2018-12-30,64
2019-01-06,38
2019-01-13,49
2019-01-20,46
2019-01-27,48
2019-02-03,51
2019-02-10,33
2019-02-17,51
2019-02-24,53
2019-03-03,50
2019-03-10,47
2019-03-17,55
2019-03-24,59
2019-03-31,53
2019-04-07,54
2019-04-14,53
2019-04-21,46
2019-04-28,44
2019-05-05,60
2019-05-12,43
2019-05-19,62
2019-05-26,60
2019-06-02,54
2019-06-09,70
2019-06-16,72
2019-06-23,76
2019-06-30,59
2019-07-07,62
2019-07-14,62
2019-07-21,54
2019-07-28,58
2019-08-04,65
2019-08-11,61
2019-08-18,65
2019-08-25,66
2019-09-01,63
2019-09-08,60
2019-09-15,45
2019-09-22,56
2019-09-29,54
2019-10-06,57
2019-10-13,63
2019-10-20,58
2019-10-27,56
2019-11-03,64
2019-11-10,56
2019-11-17,49
2019-11-24,63
2019-12-01,51
2019-12-08,51
2019-12-15,55
2019-12-22,64
2019-12-29,79
2020-01-05,56
2020-01-12,58
2020-01-19,60
2020-01-26,69
2020-02-02,67
2020-02-09,59
2020-02-16,100
2020-02-23,71
2020-03-01,65
2020-03-08,63
2020-03-15,65
2020-03-22,70
2020-03-29,96
2020-04-05,71
