Categoría: Astrología y predicciones

Día,Geo: Bélgica
2018-12-30,77
2018-12-31,75
2019-01-01,100
2019-01-02,79
2019-01-03,71
2019-01-04,70
2019-01-05,77
2019-01-06,80
2019-01-07,65
2019-01-08,69
2019-01-09,61
2019-01-10,62
2019-01-11,57
2019-01-12,64
2019-01-13,66
2019-01-14,62
2019-01-15,63
2019-01-16,60
2019-01-17,62
2019-01-18,57
2019-01-19,63
2019-01-20,68
2019-01-21,65
2019-01-22,53
2019-01-23,56
2019-01-24,58
2019-01-25,59
2019-01-26,63
2019-01-27,68
2019-01-28,58
2019-01-29,60
2019-01-30,60
2019-01-31,57
2019-02-01,66
2019-02-02,63
2019-02-03,71
2019-02-04,67
2019-02-05,98
2019-02-06,67
2019-02-07,64
2019-02-08,61
2019-02-09,67
2019-02-10,69
2019-02-11,65
2019-02-12,57
2019-02-13,57
2019-02-14,54
2019-02-15,55
2019-02-16,57
2019-02-17,66
2019-02-18,62
2019-02-19,55
2019-02-20,58
2019-02-21,54
2019-02-22,62
2019-02-23,59
2019-02-24,68
2019-02-25,56
2019-02-26,56
2019-02-27,65
2019-02-28,63
2019-03-01,60
2019-03-02,60
2019-03-03,60
2019-03-04,55
2019-03-05,54
2019-03-06,54
2019-03-07,52
2019-03-08,51
2019-03-09,58
2019-03-10,66
2019-03-11,62
2019-03-12,58
2019-03-13,53
2019-03-14,55
2019-03-15,61
2019-03-16,57
2019-03-17,69
2019-03-18,59
2019-03-19,55
2019-03-20,58
2019-03-21,58
2019-03-22,56
2019-03-23,62
2019-03-24,63
2019-03-25,60
2019-03-26,64
2019-03-27,59
2019-03-28,60
2019-03-29,56
2019-03-30,56
2019-03-31,60
2019-04-01,60
2019-04-02,57
2019-04-03,60
2019-04-04,55
2019-04-05,65
2019-04-06,57
2019-04-07,55
2019-04-08,53
2019-04-09,59
2019-04-10,54
