Categoría: Astrología y predicciones

Día,Geo: Suiza
2018-12-30,75
2018-12-31,72
2019-01-01,100
2019-01-02,74
2019-01-03,64
2019-01-04,63
2019-01-05,67
2019-01-06,80
2019-01-07,66
2019-01-08,62
2019-01-09,61
2019-01-10,60
2019-01-11,57
2019-01-12,56
2019-01-13,63
2019-01-14,67
2019-01-15,61
2019-01-16,56
2019-01-17,60
2019-01-18,58
2019-01-19,54
2019-01-20,62
2019-01-21,61
2019-01-22,58
2019-01-23,57
2019-01-24,60
2019-01-25,54
2019-01-26,54
2019-01-27,60
2019-01-28,59
2019-01-29,65
2019-01-30,58
2019-01-31,57
2019-02-01,60
2019-02-02,51
2019-02-03,54
2019-02-04,66
2019-02-05,70
2019-02-06,59
2019-02-07,60
2019-02-08,49
2019-02-09,53
2019-02-10,61
2019-02-11,55
2019-02-12,56
2019-02-13,57
2019-02-14,54
2019-02-15,47
2019-02-16,48
2019-02-17,61
2019-02-18,58
2019-02-19,59
2019-02-20,55
2019-02-21,59
2019-02-22,54
2019-02-23,50
2019-02-24,56
2019-02-25,59
2019-02-26,54
2019-02-27,57
2019-02-28,52
2019-03-01,55
2019-03-02,50
2019-03-03,54
2019-03-04,60
2019-03-05,50
2019-03-06,60
2019-03-07,61
2019-03-08,55
2019-03-09,50
2019-03-10,55
2019-03-11,56
2019-03-12,54
2019-03-13,52
2019-03-14,54
2019-03-15,56
2019-03-16,43
2019-03-17,55
2019-03-18,61
2019-03-19,55
2019-03-20,54
2019-03-21,59
2019-03-22,53
2019-03-23,48
2019-03-24,55
2019-03-25,60
2019-03-26,58
2019-03-27,57
2019-03-28,57
2019-03-29,51
2019-03-30,47
2019-03-31,51
2019-04-01,57
2019-04-02,54
2019-04-03,55
2019-04-04,57
2019-04-05,50
2019-04-06,50
2019-04-07,53
2019-04-08,60
2019-04-09,54
2019-04-10,59
