Categoría: Astrología y predicciones

Día,Geo: Irlanda
2018-12-30,72
2018-12-31,78
2019-01-01,100
2019-01-02,72
2019-01-03,93
2019-01-04,59
2019-01-05,52
2019-01-06,60
2019-01-07,54
2019-01-08,49
2019-01-09,50
2019-01-10,49
2019-01-11,52
2019-01-12,55
2019-01-13,58
2019-01-14,50
2019-01-15,51
2019-01-16,49
2019-01-17,48
2019-01-18,49
2019-01-19,54
2019-01-20,64
2019-01-21,72
2019-01-22,45
2019-01-23,48
2019-01-24,49
2019-01-25,46
2019-01-26,48
2019-01-27,54
2019-01-28,48
2019-01-29,53
2019-01-30,48
2019-01-31,50
2019-02-01,55
2019-02-02,56
2019-02-03,65
2019-02-04,59
2019-02-05,93
2019-02-06,58
2019-02-07,55
2019-02-08,51
2019-02-09,61
2019-02-10,59
2019-02-11,54
2019-02-12,58
2019-02-13,47
2019-02-14,54
2019-02-15,49
2019-02-16,52
2019-02-17,51
2019-02-18,54
2019-02-19,53
2019-02-20,50
2019-02-21,48
2019-02-22,52
2019-02-23,52
2019-02-24,51
2019-02-25,45
2019-02-26,44
2019-02-27,48
2019-02-28,45
2019-03-01,47
2019-03-02,53
2019-03-03,59
2019-03-04,56
2019-03-05,45
2019-03-06,52
2019-03-07,46
2019-03-08,42
2019-03-09,51
2019-03-10,52
2019-03-11,50
2019-03-12,52
2019-03-13,42
2019-03-14,48
2019-03-15,45
2019-03-16,63
2019-03-17,52
2019-03-18,51
2019-03-19,48
2019-03-20,50
2019-03-21,57
2019-03-22,45
2019-03-23,49
2019-03-24,58
2019-03-25,54
2019-03-26,46
2019-03-27,46
2019-03-28,45
2019-03-29,45
2019-03-30,55
2019-03-31,55
2019-04-01,51
2019-04-02,60
2019-04-03,58
2019-04-04,44
2019-04-05,50
2019-04-06,53
2019-04-07,53
2019-04-08,50
2019-04-09,45
2019-04-10,45
