Categoría: Astrología y predicciones

Día,Geo: Austria
2019-12-30,53
2019-12-31,67
2020-01-01,100
2020-01-02,62
2020-01-03,50
2020-01-04,53
2020-01-05,60
2020-01-06,54
2020-01-07,53
2020-01-08,49
2020-01-09,48
2020-01-10,50
2020-01-11,52
2020-01-12,56
2020-01-13,52
2020-01-14,48
2020-01-15,47
2020-01-16,44
2020-01-17,46
2020-01-18,48
2020-01-19,51
2020-01-20,51
2020-01-21,45
2020-01-22,45
2020-01-23,45
2020-01-24,47
2020-01-25,50
2020-01-26,52
2020-01-27,48
2020-01-28,46
2020-01-29,44
2020-01-30,44
2020-01-31,45
2020-02-01,44
2020-02-02,48
2020-02-03,46
2020-02-04,47
2020-02-05,43
2020-02-06,44
2020-02-07,43
2020-02-08,39
2020-02-09,47
2020-02-10,44
2020-02-11,44
2020-02-12,44
2020-02-13,41
2020-02-14,42
2020-02-15,40
2020-02-16,49
2020-02-17,50
2020-02-18,44
2020-02-19,43
2020-02-20,46
2020-02-21,45
2020-02-22,37
2020-02-23,46
2020-02-24,47
2020-02-25,41
2020-02-26,45
2020-02-27,41
2020-02-28,41
2020-02-29,41
2020-03-01,47
2020-03-02,41
2020-03-03,41
2020-03-04,42
2020-03-05,42
2020-03-06,42
2020-03-07,40
2020-03-08,42
2020-03-09,43
2020-03-10,37
2020-03-11,37
2020-03-12,32
2020-03-13,30
2020-03-14,36
2020-03-15,36
2020-03-16,33
2020-03-17,35
2020-03-18,36
2020-03-19,35
2020-03-20,38
2020-03-21,42
2020-03-22,43
2020-03-23,40
2020-03-24,39
2020-03-25,39
2020-03-26,40
2020-03-27,40
2020-03-28,38
2020-03-29,43
2020-03-30,42
2020-03-31,37
2020-04-01,41
2020-04-02,37
2020-04-03,37
2020-04-04,40
2020-04-05,39
2020-04-06,36
2020-04-07,39
