Categoría: Astrología y predicciones

Día,Geo: Francia
2019-12-30,62
2019-12-31,69
2020-01-01,100
2020-01-02,72
2020-01-03,69
2020-01-04,67
2020-01-05,72
2020-01-06,64
2020-01-07,55
2020-01-08,55
2020-01-09,57
2020-01-10,57
2020-01-11,65
2020-01-12,66
2020-01-13,63
2020-01-14,57
2020-01-15,58
2020-01-16,61
2020-01-17,59
2020-01-18,62
2020-01-19,68
2020-01-20,65
2020-01-21,63
2020-01-22,64
2020-01-23,60
2020-01-24,69
2020-01-25,92
2020-01-26,80
2020-01-27,68
2020-01-28,61
2020-01-29,55
2020-01-30,59
2020-01-31,61
2020-02-01,60
2020-02-02,65
2020-02-03,59
2020-02-04,51
2020-02-05,53
2020-02-06,53
2020-02-07,53
2020-02-08,59
2020-02-09,63
2020-02-10,56
2020-02-11,53
2020-02-12,57
2020-02-13,60
2020-02-14,57
2020-02-15,56
2020-02-16,61
2020-02-17,59
2020-02-18,55
2020-02-19,51
2020-02-20,58
2020-02-21,54
2020-02-22,58
2020-02-23,64
2020-02-24,57
2020-02-25,53
2020-02-26,52
2020-02-27,55
2020-02-28,56
2020-02-29,56
2020-03-01,61
2020-03-02,52
2020-03-03,50
2020-03-04,49
2020-03-05,47
2020-03-06,50
2020-03-07,55
2020-03-08,61
2020-03-09,51
2020-03-10,48
2020-03-11,48
2020-03-12,48
2020-03-13,44
2020-03-14,49
2020-03-15,50
2020-03-16,37
2020-03-17,40
2020-03-18,41
2020-03-19,47
2020-03-20,49
2020-03-21,55
2020-03-22,55
2020-03-23,49
2020-03-24,45
2020-03-25,48
2020-03-26,49
2020-03-27,49
2020-03-28,55
2020-03-29,54
2020-03-30,46
2020-03-31,49
2020-04-01,47
2020-04-02,50
2020-04-03,50
2020-04-04,53
2020-04-05,54
2020-04-06,53
2020-04-07,51
