Categoría: Astrología y predicciones

Día,Geo: Países Bajos
2019-12-30,69
2019-12-31,74
2020-01-01,100
2020-01-02,77
2020-01-03,69
2020-01-04,79
2020-01-05,82
2020-01-06,75
2020-01-07,67
2020-01-08,65
2020-01-09,64
2020-01-10,69
2020-01-11,68
2020-01-12,78
2020-01-13,67
2020-01-14,63
2020-01-15,61
2020-01-16,60
2020-01-17,60
2020-01-18,63
2020-01-19,66
2020-01-20,63
2020-01-21,62
2020-01-22,61
2020-01-23,66
2020-01-24,66
2020-01-25,84
2020-01-26,76
2020-01-27,64
2020-01-28,61
2020-01-29,58
2020-01-30,63
2020-01-31,61
2020-02-01,70
2020-02-02,73
2020-02-03,63
2020-02-04,57
2020-02-05,58
2020-02-06,56
2020-02-07,57
2020-02-08,63
2020-02-09,66
2020-02-10,56
2020-02-11,55
2020-02-12,55
2020-02-13,59
2020-02-14,57
2020-02-15,61
2020-02-16,66
2020-02-17,57
2020-02-18,60
2020-02-19,58
2020-02-20,59
2020-02-21,55
2020-02-22,60
2020-02-23,63
2020-02-24,54
2020-02-25,58
2020-02-26,53
2020-02-27,55
2020-02-28,59
2020-02-29,58
2020-03-01,67
2020-03-02,59
2020-03-03,57
2020-03-04,55
2020-03-05,53
2020-03-06,55
2020-03-07,58
2020-03-08,64
2020-03-09,58
2020-03-10,53
2020-03-11,51
2020-03-12,48
2020-03-13,48
2020-03-14,55
2020-03-15,53
2020-03-16,43
2020-03-17,42
2020-03-18,48
2020-03-19,51
2020-03-20,54
2020-03-21,56
2020-03-22,55
2020-03-23,49
2020-03-24,49
2020-03-25,48
2020-03-26,51
2020-03-27,50
2020-03-28,56
2020-03-29,61
2020-03-30,55
2020-03-31,57
2020-04-01,58
2020-04-02,62
2020-04-03,67
2020-04-04,62
2020-04-05,59
2020-04-06,53
2020-04-07,55
