Categoría: Astrología y predicciones

Día,Geo: España
2019-12-30,82
2019-12-31,89
2020-01-01,100
2020-01-02,81
2020-01-03,73
2020-01-04,74
2020-01-05,68
2020-01-06,71
2020-01-07,69
2020-01-08,67
2020-01-09,63
2020-01-10,68
2020-01-11,65
2020-01-12,72
2020-01-13,76
2020-01-14,69
2020-01-15,64
2020-01-16,64
2020-01-17,62
2020-01-18,69
2020-01-19,65
2020-01-20,74
2020-01-21,64
2020-01-22,65
2020-01-23,61
2020-01-24,71
2020-01-25,84
2020-01-26,79
2020-01-27,76
2020-01-28,62
2020-01-29,61
2020-01-30,63
2020-01-31,60
2020-02-01,68
2020-02-02,78
2020-02-03,76
2020-02-04,61
2020-02-05,61
2020-02-06,57
2020-02-07,62
2020-02-08,64
2020-02-09,66
2020-02-10,71
2020-02-11,69
2020-02-12,61
2020-02-13,56
2020-02-14,58
2020-02-15,59
2020-02-16,73
2020-02-17,77
2020-02-18,64
2020-02-19,60
2020-02-20,59
2020-02-21,59
2020-02-22,61
2020-02-23,63
2020-02-24,70
2020-02-25,66
2020-02-26,60
2020-02-27,61
2020-02-28,58
2020-02-29,64
2020-03-01,70
2020-03-02,73
2020-03-03,63
2020-03-04,58
2020-03-05,54
2020-03-06,62
2020-03-07,61
2020-03-08,62
2020-03-09,71
2020-03-10,53
2020-03-11,49
2020-03-12,43
2020-03-13,45
2020-03-14,52
2020-03-15,54
2020-03-16,50
2020-03-17,48
2020-03-18,45
2020-03-19,43
2020-03-20,54
2020-03-21,55
2020-03-22,53
2020-03-23,63
2020-03-24,55
2020-03-25,47
2020-03-26,51
2020-03-27,56
2020-03-28,59
2020-03-29,70
2020-03-30,63
2020-03-31,54
2020-04-01,53
2020-04-02,50
2020-04-03,53
2020-04-04,56
2020-04-05,54
2020-04-06,59
2020-04-07,57
