Categoría: Astrología y predicciones

Semana,Geo: Reino Unido
2018-12-30,89
2019-01-06,70
2019-01-13,67
2019-01-20,68
2019-01-27,71
2019-02-03,100
2019-02-10,66
2019-02-17,65
2019-02-24,61
2019-03-03,65
2019-03-10,62
2019-03-17,64
2019-03-24,58
2019-03-31,60
2019-04-07,62
2019-04-14,59
2019-04-21,60
2019-04-28,63
2019-05-05,60
2019-05-12,59
2019-05-19,62
2019-05-26,64
2019-06-02,64
2019-06-09,71
2019-06-16,68
2019-06-23,62
2019-06-30,65
2019-07-07,65
2019-07-14,67
2019-07-21,65
2019-07-28,72
2019-08-04,63
2019-08-11,66
2019-08-18,62
2019-08-25,61
2019-09-01,65
2019-09-08,61
2019-09-15,57
2019-09-22,61
2019-09-29,66
2019-10-06,60
2019-10-13,64
2019-10-20,67
2019-10-27,67
2019-11-03,66
2019-11-10,64
2019-11-17,65
2019-11-24,65
2019-12-01,65
2019-12-08,71
2019-12-15,65
2019-12-22,67
2019-12-29,90
2020-01-05,74
2020-01-12,70
2020-01-19,90
2020-01-26,80
2020-02-02,67
2020-02-09,64
2020-02-16,67
2020-02-23,66
2020-03-01,66
2020-03-08,63
2020-03-15,56
2020-03-22,57
2020-03-29,60
2020-04-05,63
