Categoría: Astrología y predicciones

Semana,Geo: Francia
2018-12-30,96
2019-01-06,78
2019-01-13,73
2019-01-20,74
2019-01-27,74
2019-02-03,88
2019-02-10,75
2019-02-17,70
2019-02-24,74
2019-03-03,71
2019-03-10,70
2019-03-17,70
2019-03-24,69
2019-03-31,69
2019-04-07,68
2019-04-14,66
2019-04-21,69
2019-04-28,70
2019-05-05,68
2019-05-12,67
2019-05-19,69
2019-05-26,68
2019-06-02,73
2019-06-09,72
2019-06-16,70
2019-06-23,67
2019-06-30,68
2019-07-07,67
2019-07-14,72
2019-07-21,70
2019-07-28,68
2019-08-04,69
2019-08-11,69
2019-08-18,75
2019-08-25,72
2019-09-01,68
2019-09-08,67
2019-09-15,70
2019-09-22,69
2019-09-29,67
2019-10-06,69
2019-10-13,74
2019-10-20,73
2019-10-27,74
2019-11-03,71
2019-11-10,71
2019-11-17,75
2019-11-24,76
2019-12-01,71
2019-12-08,75
2019-12-15,77
2019-12-22,86
2019-12-29,100
2020-01-05,83
2020-01-12,87
2020-01-19,93
2020-01-26,90
2020-02-02,78
2020-02-09,78
2020-02-16,78
2020-02-23,80
2020-03-01,73
2020-03-08,69
2020-03-15,69
2020-03-22,68
2020-03-29,73
2020-04-05,73
