Categoría: Astrología y predicciones

Semana,Geo: Alemania
2018-12-30,93
2019-01-06,77
2019-01-13,77
2019-01-20,72
2019-01-27,74
2019-02-03,78
2019-02-10,71
2019-02-17,71
2019-02-24,68
2019-03-03,69
2019-03-10,72
2019-03-17,71
2019-03-24,70
2019-03-31,68
2019-04-07,67
2019-04-14,67
2019-04-21,67
2019-04-28,68
2019-05-05,68
2019-05-12,68
2019-05-19,68
2019-05-26,66
2019-06-02,69
2019-06-09,69
2019-06-16,68
2019-06-23,66
2019-06-30,70
2019-07-07,66
2019-07-14,71
2019-07-21,68
2019-07-28,69
2019-08-04,66
2019-08-11,66
2019-08-18,70
2019-08-25,67
2019-09-01,69
2019-09-08,69
2019-09-15,63
2019-09-22,65
2019-09-29,67
2019-10-06,67
2019-10-13,69
2019-10-20,71
2019-10-27,70
2019-11-03,70
2019-11-10,75
2019-11-17,73
2019-11-24,70
2019-12-01,70
2019-12-08,73
2019-12-15,78
2019-12-22,80
2019-12-29,100
2020-01-05,87
2020-01-12,81
2020-01-19,80
2020-01-26,78
2020-02-02,74
2020-02-09,70
2020-02-16,73
2020-02-23,69
2020-03-01,66
2020-03-08,64
2020-03-15,60
2020-03-22,66
2020-03-29,67
2020-04-05,65
