Categoría: Astrología y predicciones

Semana,Geo: Países Bajos
2018-12-30,91
2019-01-06,80
2019-01-13,76
2019-01-20,74
2019-01-27,71
2019-02-03,85
2019-02-10,71
2019-02-17,69
2019-02-24,71
2019-03-03,66
2019-03-10,68
2019-03-17,73
2019-03-24,67
2019-03-31,69
2019-04-07,66
2019-04-14,69
2019-04-21,64
2019-04-28,70
2019-05-05,67
2019-05-12,70
2019-05-19,74
2019-05-26,72
2019-06-02,74
2019-06-09,74
2019-06-16,73
2019-06-23,68
2019-06-30,73
2019-07-07,74
2019-07-14,72
2019-07-21,69
2019-07-28,73
2019-08-04,69
2019-08-11,73
2019-08-18,72
2019-08-25,69
2019-09-01,68
2019-09-08,72
2019-09-15,68
2019-09-22,70
2019-09-29,72
2019-10-06,72
2019-10-13,75
2019-10-20,71
2019-10-27,74
2019-11-03,76
2019-11-10,75
2019-11-17,76
2019-11-24,72
2019-12-01,75
2019-12-08,80
2019-12-15,82
2019-12-22,85
2019-12-29,100
2020-01-05,93
2020-01-12,84
2020-01-19,88
2020-01-26,85
2020-02-02,77
2020-02-09,75
2020-02-16,79
2020-02-23,74
2020-03-01,75
2020-03-08,69
2020-03-15,64
2020-03-22,62
2020-03-29,77
2020-04-05,72
