Categoría: Astrología y predicciones

Semana,Geo: Portugal
2018-12-30,94
2019-01-06,69
2019-01-13,64
2019-01-20,64
2019-01-27,63
2019-02-03,70
2019-02-10,63
2019-02-17,66
2019-02-24,59
2019-03-03,60
2019-03-10,60
2019-03-17,66
2019-03-24,64
2019-03-31,65
2019-04-07,58
2019-04-14,63
2019-04-21,64
2019-04-28,65
2019-05-05,63
2019-05-12,63
2019-05-19,62
2019-05-26,62
2019-06-02,62
2019-06-09,64
2019-06-16,66
2019-06-23,65
2019-06-30,67
2019-07-07,65
2019-07-14,69
2019-07-21,69
2019-07-28,68
2019-08-04,67
2019-08-11,68
2019-08-18,69
2019-08-25,65
2019-09-01,64
2019-09-08,65
2019-09-15,64
2019-09-22,62
2019-09-29,66
2019-10-06,60
2019-10-13,67
2019-10-20,69
2019-10-27,64
2019-11-03,64
2019-11-10,65
2019-11-17,66
2019-11-24,63
2019-12-01,65
2019-12-08,67
2019-12-15,73
2019-12-22,74
2019-12-29,100
2020-01-05,77
2020-01-12,76
2020-01-19,80
2020-01-26,75
2020-02-02,73
2020-02-09,66
2020-02-16,71
2020-02-23,69
2020-03-01,71
2020-03-08,61
2020-03-15,59
2020-03-22,62
2020-03-29,70
2020-04-05,65
