Categoría: Budismo

Día,Geo: España
2018-12-30,75
2018-12-31,56
2019-01-01,72
2019-01-02,73
2019-01-03,64
2019-01-04,69
2019-01-05,59
2019-01-06,67
2019-01-07,65
2019-01-08,63
2019-01-09,78
2019-01-10,65
2019-01-11,69
2019-01-12,68
2019-01-13,73
2019-01-14,63
2019-01-15,64
2019-01-16,66
2019-01-17,55
2019-01-18,61
2019-01-19,62
2019-01-20,71
2019-01-21,65
2019-01-22,68
2019-01-23,62
2019-01-24,65
2019-01-25,66
2019-01-26,71
2019-01-27,79
2019-01-28,65
2019-01-29,67
2019-01-30,67
2019-01-31,64
2019-02-01,68
2019-02-02,73
2019-02-03,85
2019-02-04,84
2019-02-05,71
2019-02-06,61
2019-02-07,64
2019-02-08,65
2019-02-09,66
2019-02-10,74
2019-02-11,67
2019-02-12,61
2019-02-13,65
2019-02-14,54
2019-02-15,59
2019-02-16,66
2019-02-17,74
2019-02-18,63
2019-02-19,68
2019-02-20,62
2019-02-21,76
2019-02-22,100
2019-02-23,80
2019-02-24,71
2019-02-25,65
2019-02-26,55
2019-02-27,62
2019-02-28,64
2019-03-01,76
2019-03-02,64
2019-03-03,74
2019-03-04,68
2019-03-05,59
2019-03-06,65
2019-03-07,68
2019-03-08,57
2019-03-09,68
2019-03-10,79
2019-03-11,66
2019-03-12,70
2019-03-13,65
2019-03-14,54
2019-03-15,64
2019-03-16,67
2019-03-17,80
2019-03-18,65
2019-03-19,67
2019-03-20,62
2019-03-21,62
2019-03-22,69
2019-03-23,78
2019-03-24,79
2019-03-25,66
2019-03-26,61
2019-03-27,72
2019-03-28,64
2019-03-29,60
2019-03-30,73
2019-03-31,77
2019-04-01,73
2019-04-02,67
2019-04-03,60
2019-04-04,71
2019-04-05,75
2019-04-06,73
2019-04-07,85
2019-04-08,79
2019-04-09,63
2019-04-10,67
