Categoría: Budismo

Día,Geo: Austria
2019-12-30,68
2019-12-31,51
2020-01-01,81
2020-01-02,74
2020-01-03,80
2020-01-04,71
2020-01-05,83
2020-01-06,78
2020-01-07,78
2020-01-08,68
2020-01-09,72
2020-01-10,69
2020-01-11,76
2020-01-12,76
2020-01-13,92
2020-01-14,66
2020-01-15,68
2020-01-16,73
2020-01-17,75
2020-01-18,59
2020-01-19,76
2020-01-20,79
2020-01-21,66
2020-01-22,73
2020-01-23,60
2020-01-24,71
2020-01-25,70
2020-01-26,66
2020-01-27,81
2020-01-28,88
2020-01-29,75
2020-01-30,61
2020-01-31,62
2020-02-01,73
2020-02-02,75
2020-02-03,79
2020-02-04,69
2020-02-05,88
2020-02-06,74
2020-02-07,69
2020-02-08,81
2020-02-09,84
2020-02-10,58
2020-02-11,69
2020-02-12,81
2020-02-13,85
2020-02-14,69
2020-02-15,55
2020-02-16,78
2020-02-17,60
2020-02-18,57
2020-02-19,75
2020-02-20,67
2020-02-21,62
2020-02-22,51
2020-02-23,82
2020-02-24,85
2020-02-25,60
2020-02-26,58
2020-02-27,66
2020-02-28,64
2020-02-29,66
2020-03-01,79
2020-03-02,75
2020-03-03,84
2020-03-04,74
2020-03-05,62
2020-03-06,77
2020-03-07,85
2020-03-08,79
2020-03-09,66
2020-03-10,58
2020-03-11,66
2020-03-12,54
2020-03-13,48
2020-03-14,70
2020-03-15,47
2020-03-16,52
2020-03-17,65
2020-03-18,49
2020-03-19,46
2020-03-20,51
2020-03-21,94
2020-03-22,84
2020-03-23,73
2020-03-24,65
2020-03-25,68
2020-03-26,82
2020-03-27,93
2020-03-28,87
2020-03-29,73
2020-03-30,63
2020-03-31,62
2020-04-01,56
2020-04-02,53
2020-04-03,60
2020-04-04,53
2020-04-05,100
2020-04-06,88
2020-04-07,52
