Categoría: Budismo

Día,Geo: Bélgica
2019-12-30,68
2019-12-31,57
2020-01-01,68
2020-01-02,61
2020-01-03,80
2020-01-04,74
2020-01-05,86
2020-01-06,86
2020-01-07,66
2020-01-08,80
2020-01-09,78
2020-01-10,65
2020-01-11,76
2020-01-12,78
2020-01-13,57
2020-01-14,65
2020-01-15,69
2020-01-16,68
2020-01-17,73
2020-01-18,68
2020-01-19,71
2020-01-20,64
2020-01-21,64
2020-01-22,78
2020-01-23,56
2020-01-24,54
2020-01-25,68
2020-01-26,71
2020-01-27,70
2020-01-28,59
2020-01-29,75
2020-01-30,75
2020-01-31,72
2020-02-01,73
2020-02-02,75
2020-02-03,66
2020-02-04,72
2020-02-05,71
2020-02-06,66
2020-02-07,58
2020-02-08,69
2020-02-09,85
2020-02-10,59
2020-02-11,65
2020-02-12,72
2020-02-13,85
2020-02-14,69
2020-02-15,69
2020-02-16,97
2020-02-17,78
2020-02-18,66
2020-02-19,59
2020-02-20,73
2020-02-21,60
2020-02-22,92
2020-02-23,100
2020-02-24,54
2020-02-25,54
2020-02-26,58
2020-02-27,60
2020-02-28,59
2020-02-29,67
2020-03-01,76
2020-03-02,73
2020-03-03,53
2020-03-04,54
2020-03-05,79
2020-03-06,59
2020-03-07,46
2020-03-08,76
2020-03-09,69
2020-03-10,60
2020-03-11,63
2020-03-12,60
2020-03-13,61
2020-03-14,59
2020-03-15,59
2020-03-16,42
2020-03-17,52
2020-03-18,53
2020-03-19,55
2020-03-20,49
2020-03-21,74
2020-03-22,79
2020-03-23,46
2020-03-24,59
2020-03-25,61
2020-03-26,52
2020-03-27,64
2020-03-28,55
2020-03-29,67
2020-03-30,75
2020-03-31,74
2020-04-01,50
2020-04-02,54
2020-04-03,49
2020-04-04,47
2020-04-05,70
2020-04-06,52
2020-04-07,51
