Categoría: Budismo

Día,Geo: Reino Unido
2019-12-30,69
2019-12-31,66
2020-01-01,78
2020-01-02,77
2020-01-03,72
2020-01-04,72
2020-01-05,81
2020-01-06,69
2020-01-07,75
2020-01-08,71
2020-01-09,77
2020-01-10,73
2020-01-11,73
2020-01-12,76
2020-01-13,77
2020-01-14,70
2020-01-15,71
2020-01-16,71
2020-01-17,67
2020-01-18,76
2020-01-19,69
2020-01-20,70
2020-01-21,71
2020-01-22,70
2020-01-23,70
2020-01-24,70
2020-01-25,72
2020-01-26,77
2020-01-27,69
2020-01-28,72
2020-01-29,69
2020-01-30,73
2020-01-31,67
2020-02-01,100
2020-02-02,81
2020-02-03,71
2020-02-04,68
2020-02-05,71
2020-02-06,78
2020-02-07,69
2020-02-08,75
2020-02-09,79
2020-02-10,67
2020-02-11,75
2020-02-12,74
2020-02-13,75
2020-02-14,66
2020-02-15,75
2020-02-16,91
2020-02-17,59
2020-02-18,65
2020-02-19,67
2020-02-20,68
2020-02-21,70
2020-02-22,74
2020-02-23,83
2020-02-24,75
2020-02-25,75
2020-02-26,66
2020-02-27,71
2020-02-28,69
2020-02-29,72
2020-03-01,71
2020-03-02,65
2020-03-03,71
2020-03-04,70
2020-03-05,62
2020-03-06,69
2020-03-07,67
2020-03-08,76
2020-03-09,69
2020-03-10,66
2020-03-11,64
2020-03-12,65
2020-03-13,64
2020-03-14,77
2020-03-15,76
2020-03-16,59
2020-03-17,58
2020-03-18,59
2020-03-19,59
2020-03-20,60
2020-03-21,69
2020-03-22,70
2020-03-23,64
2020-03-24,62
2020-03-25,64
2020-03-26,62
2020-03-27,67
2020-03-28,69
2020-03-29,70
2020-03-30,71
2020-03-31,71
2020-04-01,65
2020-04-02,67
2020-04-03,68
2020-04-04,69
2020-04-05,73
2020-04-06,68
2020-04-07,66
