Categoría: Budismo

Día,Geo: Alemania
2019-12-30,80
2019-12-31,75
2020-01-01,88
2020-01-02,86
2020-01-03,81
2020-01-04,87
2020-01-05,100
2020-01-06,83
2020-01-07,84
2020-01-08,94
2020-01-09,89
2020-01-10,86
2020-01-11,84
2020-01-12,93
2020-01-13,84
2020-01-14,79
2020-01-15,76
2020-01-16,79
2020-01-17,76
2020-01-18,82
2020-01-19,86
2020-01-20,82
2020-01-21,82
2020-01-22,79
2020-01-23,75
2020-01-24,77
2020-01-25,87
2020-01-26,93
2020-01-27,86
2020-01-28,78
2020-01-29,80
2020-01-30,84
2020-01-31,86
2020-02-01,83
2020-02-02,94
2020-02-03,80
2020-02-04,73
2020-02-05,76
2020-02-06,76
2020-02-07,83
2020-02-08,85
2020-02-09,93
2020-02-10,82
2020-02-11,79
2020-02-12,83
2020-02-13,83
2020-02-14,74
2020-02-15,75
2020-02-16,92
2020-02-17,80
2020-02-18,80
2020-02-19,77
2020-02-20,72
2020-02-21,74
2020-02-22,75
2020-02-23,89
2020-02-24,76
2020-02-25,80
2020-02-26,68
2020-02-27,72
2020-02-28,75
2020-02-29,69
2020-03-01,82
2020-03-02,75
2020-03-03,78
2020-03-04,71
2020-03-05,72
2020-03-06,72
2020-03-07,75
2020-03-08,84
2020-03-09,78
2020-03-10,82
2020-03-11,73
2020-03-12,75
2020-03-13,81
2020-03-14,77
2020-03-15,80
2020-03-16,71
2020-03-17,74
2020-03-18,65
2020-03-19,72
2020-03-20,77
2020-03-21,82
2020-03-22,79
2020-03-23,83
2020-03-24,83
2020-03-25,69
2020-03-26,82
2020-03-27,75
2020-03-28,71
2020-03-29,92
2020-03-30,81
2020-03-31,79
2020-04-01,81
2020-04-02,70
2020-04-03,73
2020-04-04,75
2020-04-05,100
2020-04-06,68
2020-04-07,70
