Categoría: Budismo

Semana,Geo: Suiza
2018-12-30,93
2019-01-06,95
2019-01-13,88
2019-01-20,91
2019-01-27,86
2019-02-03,85
2019-02-10,84
2019-02-17,91
2019-02-24,85
2019-03-03,91
2019-03-10,92
2019-03-17,85
2019-03-24,92
2019-03-31,95
2019-04-07,100
2019-04-14,88
2019-04-21,83
2019-04-28,96
2019-05-05,94
2019-05-12,100
2019-05-19,93
2019-05-26,86
2019-06-02,82
2019-06-09,83
2019-06-16,76
2019-06-23,82
2019-06-30,72
2019-07-07,68
2019-07-14,70
2019-07-21,71
2019-07-28,78
2019-08-04,83
2019-08-11,85
2019-08-18,91
2019-08-25,86
2019-09-01,96
2019-09-08,86
2019-09-15,78
2019-09-22,82
2019-09-29,80
2019-10-06,83
2019-10-13,84
2019-10-20,93
2019-10-27,87
2019-11-03,85
2019-11-10,85
2019-11-17,92
2019-11-24,84
2019-12-01,80
2019-12-08,85
2019-12-15,73
2019-12-22,76
2019-12-29,83
2020-01-05,86
2020-01-12,87
2020-01-19,87
2020-01-26,86
2020-02-02,84
2020-02-09,81
2020-02-16,82
2020-02-23,82
2020-03-01,84
2020-03-08,83
2020-03-15,66
2020-03-22,79
2020-03-29,79
2020-04-05,78
