Categoría: Budismo

Semana,Geo: Países Bajos
2018-12-30,96
2019-01-06,91
2019-01-13,93
2019-01-20,89
2019-01-27,89
2019-02-03,90
2019-02-10,92
2019-02-17,86
2019-02-24,86
2019-03-03,89
2019-03-10,98
2019-03-17,91
2019-03-24,91
2019-03-31,91
2019-04-07,94
2019-04-14,93
2019-04-21,96
2019-04-28,96
2019-05-05,94
2019-05-12,92
2019-05-19,93
2019-05-26,93
2019-06-02,98
2019-06-09,100
2019-06-16,99
2019-06-23,91
2019-06-30,90
2019-07-07,92
2019-07-14,91
2019-07-21,85
2019-07-28,88
2019-08-04,89
2019-08-11,86
2019-08-18,89
2019-08-25,88
2019-09-01,92
2019-09-08,91
2019-09-15,87
2019-09-22,93
2019-09-29,91
2019-10-06,91
2019-10-13,94
2019-10-20,95
2019-10-27,88
2019-11-03,87
2019-11-10,87
2019-11-17,89
2019-11-24,91
2019-12-01,87
2019-12-08,91
2019-12-15,89
2019-12-22,88
2019-12-29,95
2020-01-05,93
2020-01-12,91
2020-01-19,91
2020-01-26,88
2020-02-02,85
2020-02-09,86
2020-02-16,86
2020-02-23,85
2020-03-01,84
2020-03-08,80
2020-03-15,73
2020-03-22,74
2020-03-29,76
2020-04-05,79
