Categoría: Cristianismo

Día,Geo: Suiza
2018-12-30,69
2018-12-31,62
2019-01-01,75
2019-01-02,65
2019-01-03,59
2019-01-04,63
2019-01-05,81
2019-01-06,100
2019-01-07,71
2019-01-08,63
2019-01-09,65
2019-01-10,62
2019-01-11,61
2019-01-12,70
2019-01-13,74
2019-01-14,72
2019-01-15,63
2019-01-16,65
2019-01-17,67
2019-01-18,69
2019-01-19,69
2019-01-20,76
2019-01-21,64
2019-01-22,58
2019-01-23,63
2019-01-24,60
2019-01-25,57
2019-01-26,70
2019-01-27,77
2019-01-28,62
2019-01-29,63
2019-01-30,60
2019-01-31,59
2019-02-01,58
2019-02-02,64
2019-02-03,78
2019-02-04,64
2019-02-05,60
2019-02-06,56
2019-02-07,63
2019-02-08,56
2019-02-09,61
2019-02-10,66
2019-02-11,58
2019-02-12,58
2019-02-13,59
2019-02-14,56
2019-02-15,59
2019-02-16,60
2019-02-17,63
2019-02-18,62
2019-02-19,58
2019-02-20,59
2019-02-21,60
2019-02-22,63
2019-02-23,63
2019-02-24,71
2019-02-25,63
2019-02-26,59
2019-02-27,56
2019-02-28,56
2019-03-01,61
2019-03-02,72
2019-03-03,70
2019-03-04,59
2019-03-05,61
2019-03-06,77
2019-03-07,73
2019-03-08,63
2019-03-09,67
2019-03-10,74
2019-03-11,63
2019-03-12,60
2019-03-13,58
2019-03-14,64
2019-03-15,63
2019-03-16,62
2019-03-17,71
2019-03-18,67
2019-03-19,66
2019-03-20,64
2019-03-21,64
2019-03-22,63
2019-03-23,59
2019-03-24,65
2019-03-25,59
2019-03-26,64
2019-03-27,60
2019-03-28,54
2019-03-29,61
2019-03-30,61
2019-03-31,68
2019-04-01,57
2019-04-02,62
2019-04-03,63
2019-04-04,63
2019-04-05,64
2019-04-06,62
2019-04-07,76
2019-04-08,72
2019-04-09,62
2019-04-10,73
