Categoría: Cristianismo

Día,Geo: Bélgica
2019-12-30,62
2019-12-31,59
2020-01-01,72
2020-01-02,71
2020-01-03,69
2020-01-04,77
2020-01-05,100
2020-01-06,82
2020-01-07,67
2020-01-08,63
2020-01-09,63
2020-01-10,66
2020-01-11,67
2020-01-12,68
2020-01-13,77
2020-01-14,74
2020-01-15,62
2020-01-16,61
2020-01-17,60
2020-01-18,65
2020-01-19,69
2020-01-20,70
2020-01-21,62
2020-01-22,64
2020-01-23,63
2020-01-24,57
2020-01-25,59
2020-01-26,61
2020-01-27,62
2020-01-28,63
2020-01-29,59
2020-01-30,57
2020-01-31,61
2020-02-01,64
2020-02-02,72
2020-02-03,66
2020-02-04,62
2020-02-05,57
2020-02-06,62
2020-02-07,57
2020-02-08,64
2020-02-09,70
2020-02-10,65
2020-02-11,61
2020-02-12,62
2020-02-13,61
2020-02-14,57
2020-02-15,61
2020-02-16,69
2020-02-17,64
2020-02-18,61
2020-02-19,57
2020-02-20,64
2020-02-21,61
2020-02-22,60
2020-02-23,66
2020-02-24,55
2020-02-25,57
2020-02-26,57
2020-02-27,59
2020-02-28,55
2020-02-29,56
2020-03-01,65
2020-03-02,67
2020-03-03,63
2020-03-04,58
2020-03-05,56
2020-03-06,63
2020-03-07,59
2020-03-08,67
2020-03-09,62
2020-03-10,61
2020-03-11,59
2020-03-12,57
2020-03-13,58
2020-03-14,56
2020-03-15,70
2020-03-16,59
2020-03-17,57
2020-03-18,57
2020-03-19,65
2020-03-20,75
2020-03-21,64
2020-03-22,79
2020-03-23,68
2020-03-24,71
2020-03-25,66
2020-03-26,75
2020-03-27,75
2020-03-28,76
2020-03-29,85
2020-03-30,72
2020-03-31,69
2020-04-01,59
2020-04-02,73
2020-04-03,66
2020-04-04,67
2020-04-05,79
2020-04-06,59
2020-04-07,63
