Categoría: Cristianismo

Día,Geo: Alemania
2019-12-30,50
2019-12-31,55
2020-01-01,68
2020-01-02,50
2020-01-03,55
2020-01-04,61
2020-01-05,71
2020-01-06,67
2020-01-07,57
2020-01-08,51
2020-01-09,51
2020-01-10,52
2020-01-11,53
2020-01-12,62
2020-01-13,62
2020-01-14,58
2020-01-15,59
2020-01-16,50
2020-01-17,53
2020-01-18,59
2020-01-19,68
2020-01-20,53
2020-01-21,49
2020-01-22,51
2020-01-23,50
2020-01-24,49
2020-01-25,56
2020-01-26,62
2020-01-27,53
2020-01-28,48
2020-01-29,49
2020-01-30,50
2020-01-31,49
2020-02-01,55
2020-02-02,71
2020-02-03,51
2020-02-04,50
2020-02-05,49
2020-02-06,48
2020-02-07,45
2020-02-08,50
2020-02-09,58
2020-02-10,49
2020-02-11,63
2020-02-12,59
2020-02-13,53
2020-02-14,51
2020-02-15,51
2020-02-16,57
2020-02-17,50
2020-02-18,52
2020-02-19,47
2020-02-20,51
2020-02-21,46
2020-02-22,49
2020-02-23,63
2020-02-24,46
2020-02-25,52
2020-02-26,60
2020-02-27,48
2020-02-28,46
2020-02-29,51
2020-03-01,66
2020-03-02,53
2020-03-03,62
2020-03-04,51
2020-03-05,51
2020-03-06,52
2020-03-07,54
2020-03-08,65
2020-03-09,52
2020-03-10,50
2020-03-11,48
2020-03-12,44
2020-03-13,62
2020-03-14,72
2020-03-15,69
2020-03-16,47
2020-03-17,47
2020-03-18,47
2020-03-19,57
2020-03-20,59
2020-03-21,65
2020-03-22,84
2020-03-23,59
2020-03-24,53
2020-03-25,61
2020-03-26,59
2020-03-27,74
2020-03-28,59
2020-03-29,85
2020-03-30,55
2020-03-31,58
2020-04-01,53
2020-04-02,60
2020-04-03,54
2020-04-04,61
2020-04-05,100
2020-04-06,55
2020-04-07,57
