Categoría: Cristianismo

Semana,Geo: Irlanda
2018-12-30,56
2019-01-06,58
2019-01-13,58
2019-01-20,51
2019-01-27,60
2019-02-03,56
2019-02-10,57
2019-02-17,52
2019-02-24,54
2019-03-03,66
2019-03-10,59
2019-03-17,57
2019-03-24,56
2019-03-31,61
2019-04-07,57
2019-04-14,75
2019-04-21,55
2019-04-28,61
2019-05-05,51
2019-05-12,57
2019-05-19,49
2019-05-26,54
2019-06-02,59
2019-06-09,56
2019-06-16,54
2019-06-23,51
2019-06-30,51
2019-07-07,48
2019-07-14,50
2019-07-21,62
2019-07-28,45
2019-08-04,48
2019-08-11,56
2019-08-18,54
2019-08-25,55
2019-09-01,58
2019-09-08,56
2019-09-15,51
2019-09-22,55
2019-09-29,57
2019-10-06,57
2019-10-13,58
2019-10-20,54
2019-10-27,54
2019-11-03,55
2019-11-10,52
2019-11-17,53
2019-11-24,53
2019-12-01,53
2019-12-08,54
2019-12-15,52
2019-12-22,72
2019-12-29,69
2020-01-05,63
2020-01-12,61
2020-01-19,56
2020-01-26,61
2020-02-02,53
2020-02-09,58
2020-02-16,57
2020-02-23,64
2020-03-01,59
2020-03-08,64
2020-03-15,78
2020-03-22,76
2020-03-29,74
2020-04-05,100
