Categoría: Cristianismo

Semana,Geo: Italia
2018-12-30,47
2019-01-06,50
2019-01-13,48
2019-01-20,55
2019-01-27,49
2019-02-03,44
2019-02-10,48
2019-02-17,51
2019-02-24,49
2019-03-03,53
2019-03-10,52
2019-03-17,54
2019-03-24,53
2019-03-31,51
2019-04-07,56
2019-04-14,71
2019-04-21,58
2019-04-28,55
2019-05-05,55
2019-05-12,52
2019-05-19,52
2019-05-26,50
2019-06-02,49
2019-06-09,47
2019-06-16,45
2019-06-23,46
2019-06-30,43
2019-07-07,45
2019-07-14,45
2019-07-21,42
2019-07-28,43
2019-08-04,42
2019-08-11,45
2019-08-18,46
2019-08-25,45
2019-09-01,46
2019-09-08,47
2019-09-15,44
2019-09-22,47
2019-09-29,55
2019-10-06,48
2019-10-13,50
2019-10-20,52
2019-10-27,51
2019-11-03,50
2019-11-10,51
2019-11-17,52
2019-11-24,50
2019-12-01,53
2019-12-08,49
2019-12-15,50
2019-12-22,53
2019-12-29,56
2020-01-05,53
2020-01-12,54
2020-01-19,52
2020-01-26,50
2020-02-02,49
2020-02-09,48
2020-02-16,46
2020-02-23,47
2020-03-01,52
2020-03-08,51
2020-03-15,64
2020-03-22,80
2020-03-29,66
2020-04-05,100
