Categoría: Hinduismo

Día,Geo: Bélgica
2018-12-30,69
2018-12-31,80
2019-01-01,56
2019-01-02,70
2019-01-03,75
2019-01-04,62
2019-01-05,62
2019-01-06,74
2019-01-07,73
2019-01-08,71
2019-01-09,67
2019-01-10,86
2019-01-11,73
2019-01-12,63
2019-01-13,74
2019-01-14,59
2019-01-15,76
2019-01-16,71
2019-01-17,67
2019-01-18,68
2019-01-19,66
2019-01-20,62
2019-01-21,76
2019-01-22,64
2019-01-23,68
2019-01-24,68
2019-01-25,80
2019-01-26,79
2019-01-27,55
2019-01-28,61
2019-01-29,72
2019-01-30,61
2019-01-31,84
2019-02-01,76
2019-02-02,65
2019-02-03,53
2019-02-04,64
2019-02-05,65
2019-02-06,57
2019-02-07,77
2019-02-08,72
2019-02-09,100
2019-02-10,63
2019-02-11,71
2019-02-12,62
2019-02-13,85
2019-02-14,75
2019-02-15,71
2019-02-16,66
2019-02-17,67
2019-02-18,59
2019-02-19,67
2019-02-20,61
2019-02-21,78
2019-02-22,74
2019-02-23,68
2019-02-24,72
2019-02-25,76
2019-02-26,58
2019-02-27,77
2019-02-28,60
2019-03-01,72
2019-03-02,60
2019-03-03,70
2019-03-04,67
2019-03-05,65
2019-03-06,66
2019-03-07,72
2019-03-08,61
2019-03-09,76
2019-03-10,62
2019-03-11,88
2019-03-12,87
2019-03-13,78
2019-03-14,67
2019-03-15,75
2019-03-16,89
2019-03-17,87
2019-03-18,91
2019-03-19,94
2019-03-20,89
2019-03-21,94
2019-03-22,81
2019-03-23,77
2019-03-24,67
2019-03-25,93
2019-03-26,74
2019-03-27,85
2019-03-28,56
2019-03-29,63
2019-03-30,73
2019-03-31,71
2019-04-01,93
2019-04-02,96
2019-04-03,82
2019-04-04,69
2019-04-05,87
2019-04-06,74
2019-04-07,65
2019-04-08,66
2019-04-09,55
2019-04-10,56
