Categoría: Hinduismo

Día,Geo: Alemania
2018-12-30,68
2018-12-31,64
2019-01-01,78
2019-01-02,61
2019-01-03,59
2019-01-04,67
2019-01-05,63
2019-01-06,100
2019-01-07,74
2019-01-08,60
2019-01-09,62
2019-01-10,56
2019-01-11,57
2019-01-12,60
2019-01-13,71
2019-01-14,58
2019-01-15,64
2019-01-16,61
2019-01-17,57
2019-01-18,61
2019-01-19,56
2019-01-20,74
2019-01-21,63
2019-01-22,62
2019-01-23,59
2019-01-24,54
2019-01-25,57
2019-01-26,69
2019-01-27,73
2019-01-28,60
2019-01-29,61
2019-01-30,55
2019-01-31,58
2019-02-01,59
2019-02-02,64
2019-02-03,67
2019-02-04,55
2019-02-05,58
2019-02-06,58
2019-02-07,58
2019-02-08,57
2019-02-09,65
2019-02-10,66
2019-02-11,55
2019-02-12,53
2019-02-13,59
2019-02-14,60
2019-02-15,59
2019-02-16,53
2019-02-17,62
2019-02-18,54
2019-02-19,53
2019-02-20,55
2019-02-21,56
2019-02-22,61
2019-02-23,63
2019-02-24,58
2019-02-25,53
2019-02-26,49
2019-02-27,49
2019-02-28,54
2019-03-01,59
2019-03-02,60
2019-03-03,58
2019-03-04,66
2019-03-05,61
2019-03-06,56
2019-03-07,59
2019-03-08,64
2019-03-09,64
2019-03-10,65
2019-03-11,61
2019-03-12,59
2019-03-13,62
2019-03-14,62
2019-03-15,57
2019-03-16,66
2019-03-17,65
2019-03-18,58
2019-03-19,63
2019-03-20,74
2019-03-21,71
2019-03-22,54
2019-03-23,64
2019-03-24,70
2019-03-25,60
2019-03-26,60
2019-03-27,56
2019-03-28,57
2019-03-29,55
2019-03-30,54
2019-03-31,62
2019-04-01,54
2019-04-02,53
2019-04-03,59
2019-04-04,58
2019-04-05,56
2019-04-06,61
2019-04-07,61
2019-04-08,56
2019-04-09,57
2019-04-10,56
