Categoría: Hinduismo

Día,Geo: Irlanda
2018-12-30,78
2018-12-31,78
2019-01-01,92
2019-01-02,76
2019-01-03,56
2019-01-04,63
2019-01-05,67
2019-01-06,66
2019-01-07,69
2019-01-08,65
2019-01-09,92
2019-01-10,65
2019-01-11,54
2019-01-12,81
2019-01-13,58
2019-01-14,80
2019-01-15,78
2019-01-16,46
2019-01-17,64
2019-01-18,58
2019-01-19,66
2019-01-20,85
2019-01-21,44
2019-01-22,61
2019-01-23,71
2019-01-24,56
2019-01-25,77
2019-01-26,56
2019-01-27,83
2019-01-28,52
2019-01-29,71
2019-01-30,92
2019-01-31,68
2019-02-01,68
2019-02-02,77
2019-02-03,65
2019-02-04,67
2019-02-05,67
2019-02-06,70
2019-02-07,52
2019-02-08,86
2019-02-09,64
2019-02-10,64
2019-02-11,54
2019-02-12,97
2019-02-13,56
2019-02-14,66
2019-02-15,59
2019-02-16,71
2019-02-17,77
2019-02-18,64
2019-02-19,66
2019-02-20,62
2019-02-21,64
2019-02-22,80
2019-02-23,76
2019-02-24,59
2019-02-25,42
2019-02-26,61
2019-02-27,54
2019-02-28,50
2019-03-01,81
2019-03-02,91
2019-03-03,95
2019-03-04,96
2019-03-05,58
2019-03-06,55
2019-03-07,58
2019-03-08,59
2019-03-09,77
2019-03-10,61
2019-03-11,47
2019-03-12,62
2019-03-13,62
2019-03-14,41
2019-03-15,57
2019-03-16,81
2019-03-17,52
2019-03-18,73
2019-03-19,78
2019-03-20,97
2019-03-21,100
2019-03-22,64
2019-03-23,66
2019-03-24,64
2019-03-25,92
2019-03-26,67
2019-03-27,64
2019-03-28,57
2019-03-29,72
2019-03-30,76
2019-03-31,60
2019-04-01,53
2019-04-02,82
2019-04-03,90
2019-04-04,80
2019-04-05,57
2019-04-06,65
2019-04-07,93
2019-04-08,67
2019-04-09,82
2019-04-10,47
