Categoría: Hinduismo

Día,Geo: Francia
2019-12-30,49
2019-12-31,46
2020-01-01,54
2020-01-02,52
2020-01-03,51
2020-01-04,51
2020-01-05,49
2020-01-06,48
2020-01-07,48
2020-01-08,48
2020-01-09,47
2020-01-10,46
2020-01-11,47
2020-01-12,50
2020-01-13,50
2020-01-14,51
2020-01-15,46
2020-01-16,44
2020-01-17,44
2020-01-18,50
2020-01-19,47
2020-01-20,45
2020-01-21,47
2020-01-22,43
2020-01-23,45
2020-01-24,44
2020-01-25,47
2020-01-26,48
2020-01-27,47
2020-01-28,43
2020-01-29,50
2020-01-30,45
2020-01-31,47
2020-02-01,54
2020-02-02,61
2020-02-03,55
2020-02-04,66
2020-02-05,55
2020-02-06,46
2020-02-07,48
2020-02-08,55
2020-02-09,60
2020-02-10,52
2020-02-11,62
2020-02-12,62
2020-02-13,55
2020-02-14,58
2020-02-15,64
2020-02-16,50
2020-02-17,53
2020-02-18,55
2020-02-19,49
2020-02-20,45
2020-02-21,54
2020-02-22,48
2020-02-23,48
2020-02-24,43
2020-02-25,52
2020-02-26,47
2020-02-27,44
2020-02-28,45
2020-02-29,46
2020-03-01,52
2020-03-02,46
2020-03-03,57
2020-03-04,47
2020-03-05,46
2020-03-06,48
2020-03-07,52
2020-03-08,53
2020-03-09,100
2020-03-10,77
2020-03-11,46
2020-03-12,42
2020-03-13,35
2020-03-14,44
2020-03-15,37
2020-03-16,62
2020-03-17,55
2020-03-18,45
2020-03-19,40
2020-03-20,42
2020-03-21,53
2020-03-22,49
2020-03-23,76
2020-03-24,53
2020-03-25,57
2020-03-26,46
2020-03-27,49
2020-03-28,50
2020-03-29,54
2020-03-30,66
2020-03-31,56
2020-04-01,47
2020-04-02,40
2020-04-03,43
2020-04-04,47
2020-04-05,47
2020-04-06,62
2020-04-07,51
