Categoría: Hinduismo

Semana,Geo: Portugal
2018-12-30,58
2019-01-06,66
2019-01-13,75
2019-01-20,70
2019-01-27,73
2019-02-03,70
2019-02-10,70
2019-02-17,73
2019-02-24,77
2019-03-03,76
2019-03-10,68
2019-03-17,85
2019-03-24,67
2019-03-31,89
2019-04-07,77
2019-04-14,64
2019-04-21,69
2019-04-28,76
2019-05-05,67
2019-05-12,81
2019-05-19,80
2019-05-26,73
2019-06-02,79
2019-06-09,71
2019-06-16,70
2019-06-23,78
2019-06-30,78
2019-07-07,76
2019-07-14,83
2019-07-21,89
2019-07-28,80
2019-08-04,82
2019-08-11,89
2019-08-18,94
2019-08-25,92
2019-09-01,100
2019-09-08,93
2019-09-15,71
2019-09-22,81
2019-09-29,73
2019-10-06,76
2019-10-13,84
2019-10-20,81
2019-10-27,92
2019-11-03,80
2019-11-10,72
2019-11-17,75
2019-11-24,75
2019-12-01,65
2019-12-08,80
2019-12-15,82
2019-12-22,75
2019-12-29,70
2020-01-05,78
2020-01-12,80
2020-01-19,73
2020-01-26,71
2020-02-02,73
2020-02-09,79
2020-02-16,78
2020-02-23,71
2020-03-01,74
2020-03-08,69
2020-03-15,74
2020-03-22,91
2020-03-29,76
2020-04-05,76
