Categoría: Islam

Día,Geo: Luxemburgo
2018-12-30,0
2018-12-31,0
2019-01-01,0
2019-01-02,0
2019-01-03,49
2019-01-04,0
2019-01-05,0
2019-01-06,0
2019-01-07,46
2019-01-08,0
2019-01-09,43
2019-01-10,49
2019-01-11,0
2019-01-12,0
2019-01-13,0
2019-01-14,0
2019-01-15,59
2019-01-16,39
2019-01-17,41
2019-01-18,38
2019-01-19,0
2019-01-20,0
2019-01-21,0
2019-01-22,0
2019-01-23,0
2019-01-24,0
2019-01-25,48
2019-01-26,0
2019-01-27,0
2019-01-28,34
2019-01-29,46
2019-01-30,32
2019-01-31,37
2019-02-01,51
2019-02-02,54
2019-02-03,52
2019-02-04,60
2019-02-05,41
2019-02-06,43
2019-02-07,62
2019-02-08,55
2019-02-09,0
2019-02-10,0
2019-02-11,33
2019-02-12,0
2019-02-13,46
2019-02-14,38
2019-02-15,0
2019-02-16,39
2019-02-17,0
2019-02-18,43
2019-02-19,0
2019-02-20,0
2019-02-21,36
2019-02-22,54
2019-02-23,39
2019-02-24,38
2019-02-25,32
2019-02-26,42
2019-02-27,44
2019-02-28,0
2019-03-01,0
2019-03-02,43
2019-03-03,50
2019-03-04,34
2019-03-05,53
2019-03-06,0
2019-03-07,73
2019-03-08,100
2019-03-09,0
2019-03-10,49
2019-03-11,44
2019-03-12,0
2019-03-13,41
2019-03-14,0
2019-03-15,61
2019-03-16,46
2019-03-17,39
2019-03-18,49
2019-03-19,53
2019-03-20,55
2019-03-21,43
2019-03-22,0
2019-03-23,40
2019-03-24,43
2019-03-25,35
2019-03-26,42
2019-03-27,56
2019-03-28,52
2019-03-29,54
2019-03-30,0
2019-03-31,0
2019-04-01,45
2019-04-02,0
2019-04-03,43
2019-04-04,44
2019-04-05,47
2019-04-06,43
2019-04-07,0
2019-04-08,52
2019-04-09,37
2019-04-10,65
