Categoría: Islam

Día,Geo: Italia
2019-12-30,73
2019-12-31,64
2020-01-01,72
2020-01-02,74
2020-01-03,89
2020-01-04,76
2020-01-05,80
2020-01-06,81
2020-01-07,81
2020-01-08,81
2020-01-09,83
2020-01-10,99
2020-01-11,76
2020-01-12,81
2020-01-13,87
2020-01-14,84
2020-01-15,81
2020-01-16,78
2020-01-17,92
2020-01-18,75
2020-01-19,75
2020-01-20,82
2020-01-21,81
2020-01-22,86
2020-01-23,72
2020-01-24,82
2020-01-25,74
2020-01-26,72
2020-01-27,80
2020-01-28,79
2020-01-29,80
2020-01-30,85
2020-01-31,81
2020-02-01,70
2020-02-02,72
2020-02-03,82
2020-02-04,74
2020-02-05,81
2020-02-06,79
2020-02-07,75
2020-02-08,69
2020-02-09,68
2020-02-10,80
2020-02-11,86
2020-02-12,84
2020-02-13,92
2020-02-14,82
2020-02-15,66
2020-02-16,67
2020-02-17,74
2020-02-18,75
2020-02-19,77
2020-02-20,68
2020-02-21,79
2020-02-22,61
2020-02-23,73
2020-02-24,68
2020-02-25,65
2020-02-26,67
2020-02-27,79
2020-02-28,83
2020-02-29,67
2020-03-01,70
2020-03-02,76
2020-03-03,66
2020-03-04,63
2020-03-05,74
2020-03-06,73
2020-03-07,66
2020-03-08,65
2020-03-09,73
2020-03-10,74
2020-03-11,67
2020-03-12,79
2020-03-13,87
2020-03-14,77
2020-03-15,75
2020-03-16,74
2020-03-17,74
2020-03-18,78
2020-03-19,75
2020-03-20,89
2020-03-21,84
2020-03-22,93
2020-03-23,86
2020-03-24,78
2020-03-25,85
2020-03-26,92
2020-03-27,96
2020-03-28,88
2020-03-29,100
2020-03-30,85
2020-03-31,88
2020-04-01,83
2020-04-02,87
2020-04-03,86
2020-04-04,79
2020-04-05,80
2020-04-06,77
2020-04-07,89
