Categoría: Islam

Día,Geo: Países Bajos
2019-12-30,61
2019-12-31,58
2020-01-01,72
2020-01-02,59
2020-01-03,77
2020-01-04,67
2020-01-05,77
2020-01-06,65
2020-01-07,70
2020-01-08,65
2020-01-09,62
2020-01-10,72
2020-01-11,67
2020-01-12,75
2020-01-13,61
2020-01-14,60
2020-01-15,63
2020-01-16,58
2020-01-17,70
2020-01-18,64
2020-01-19,69
2020-01-20,61
2020-01-21,59
2020-01-22,59
2020-01-23,61
2020-01-24,71
2020-01-25,62
2020-01-26,67
2020-01-27,60
2020-01-28,59
2020-01-29,62
2020-01-30,60
2020-01-31,71
2020-02-01,66
2020-02-02,70
2020-02-03,59
2020-02-04,56
2020-02-05,56
2020-02-06,54
2020-02-07,70
2020-02-08,66
2020-02-09,70
2020-02-10,61
2020-02-11,53
2020-02-12,61
2020-02-13,64
2020-02-14,71
2020-02-15,64
2020-02-16,69
2020-02-17,61
2020-02-18,62
2020-02-19,59
2020-02-20,62
2020-02-21,72
2020-02-22,61
2020-02-23,71
2020-02-24,67
2020-02-25,62
2020-02-26,59
2020-02-27,77
2020-02-28,78
2020-02-29,66
2020-03-01,68
2020-03-02,62
2020-03-03,57
2020-03-04,58
2020-03-05,63
2020-03-06,76
2020-03-07,65
2020-03-08,70
2020-03-09,63
2020-03-10,64
2020-03-11,50
2020-03-12,60
2020-03-13,67
2020-03-14,66
2020-03-15,68
2020-03-16,62
2020-03-17,63
2020-03-18,68
2020-03-19,69
2020-03-20,78
2020-03-21,98
2020-03-22,83
2020-03-23,69
2020-03-24,67
2020-03-25,68
2020-03-26,77
2020-03-27,75
2020-03-28,77
2020-03-29,100
2020-03-30,82
2020-03-31,75
2020-04-01,73
2020-04-02,81
2020-04-03,79
2020-04-04,73
2020-04-05,74
2020-04-06,73
2020-04-07,99
