Categoría: Judaísmo

Día,Geo: Francia
2018-12-30,23
2018-12-31,23
2019-01-01,26
2019-01-02,23
2019-01-03,21
2019-01-04,21
2019-01-05,23
2019-01-06,25
2019-01-07,22
2019-01-08,21
2019-01-09,20
2019-01-10,20
2019-01-11,21
2019-01-12,21
2019-01-13,25
2019-01-14,18
2019-01-15,22
2019-01-16,21
2019-01-17,22
2019-01-18,22
2019-01-19,21
2019-01-20,24
2019-01-21,21
2019-01-22,19
2019-01-23,21
2019-01-24,19
2019-01-25,19
2019-01-26,20
2019-01-27,25
2019-01-28,22
2019-01-29,19
2019-01-30,20
2019-01-31,18
2019-02-01,20
2019-02-02,20
2019-02-03,22
2019-02-04,20
2019-02-05,20
2019-02-06,20
2019-02-07,19
2019-02-08,19
2019-02-09,19
2019-02-10,23
2019-02-11,24
2019-02-12,28
2019-02-13,25
2019-02-14,21
2019-02-15,24
2019-02-16,31
2019-02-17,62
2019-02-18,82
2019-02-19,100
2019-02-20,63
2019-02-21,60
2019-02-22,32
2019-02-23,32
2019-02-24,32
2019-02-25,21
2019-02-26,22
2019-02-27,19
2019-02-28,21
2019-03-01,21
2019-03-02,21
2019-03-03,25
2019-03-04,21
2019-03-05,22
2019-03-06,22
2019-03-07,20
2019-03-08,21
2019-03-09,19
2019-03-10,22
2019-03-11,20
2019-03-12,19
2019-03-13,19
2019-03-14,22
2019-03-15,43
2019-03-16,32
2019-03-17,28
2019-03-18,28
2019-03-19,26
2019-03-20,27
2019-03-21,26
2019-03-22,20
2019-03-23,24
2019-03-24,25
2019-03-25,20
2019-03-26,21
2019-03-27,21
2019-03-28,18
2019-03-29,20
2019-03-30,18
2019-03-31,21
2019-04-01,20
2019-04-02,20
2019-04-03,22
2019-04-04,22
2019-04-05,23
2019-04-06,24
2019-04-07,23
2019-04-08,20
2019-04-09,19
2019-04-10,20
