Categoría: Judaísmo

Día,Geo: Irlanda
2018-12-30,62
2018-12-31,58
2019-01-01,76
2019-01-02,0
2019-01-03,58
2019-01-04,43
2019-01-05,51
2019-01-06,41
2019-01-07,57
2019-01-08,55
2019-01-09,79
2019-01-10,68
2019-01-11,58
2019-01-12,41
2019-01-13,62
2019-01-14,65
2019-01-15,56
2019-01-16,53
2019-01-17,70
2019-01-18,67
2019-01-19,57
2019-01-20,81
2019-01-21,36
2019-01-22,73
2019-01-23,82
2019-01-24,68
2019-01-25,63
2019-01-26,88
2019-01-27,100
2019-01-28,86
2019-01-29,40
2019-01-30,59
2019-01-31,52
2019-02-01,56
2019-02-02,51
2019-02-03,67
2019-02-04,51
2019-02-05,52
2019-02-06,50
2019-02-07,53
2019-02-08,39
2019-02-09,53
2019-02-10,60
2019-02-11,93
2019-02-12,66
2019-02-13,73
2019-02-14,32
2019-02-15,43
2019-02-16,0
2019-02-17,48
2019-02-18,62
2019-02-19,61
2019-02-20,61
2019-02-21,59
2019-02-22,39
2019-02-23,56
2019-02-24,54
2019-02-25,31
2019-02-26,70
2019-02-27,52
2019-02-28,67
2019-03-01,85
2019-03-02,43
2019-03-03,56
2019-03-04,42
2019-03-05,66
2019-03-06,51
2019-03-07,65
2019-03-08,67
2019-03-09,72
2019-03-10,61
2019-03-11,39
2019-03-12,55
2019-03-13,57
2019-03-14,46
2019-03-15,54
2019-03-16,50
2019-03-17,45
2019-03-18,53
2019-03-19,50
2019-03-20,62
2019-03-21,58
2019-03-22,65
2019-03-23,60
2019-03-24,60
2019-03-25,60
2019-03-26,56
2019-03-27,55
2019-03-28,66
2019-03-29,37
2019-03-30,83
2019-03-31,53
2019-04-01,87
2019-04-02,75
2019-04-03,65
2019-04-04,63
2019-04-05,56
2019-04-06,0
2019-04-07,78
2019-04-08,48
2019-04-09,56
2019-04-10,67
