Categoría: Judaísmo

Día,Geo: Portugal
2018-12-30,50
2018-12-31,56
2019-01-01,49
2019-01-02,71
2019-01-03,69
2019-01-04,63
2019-01-05,56
2019-01-06,52
2019-01-07,69
2019-01-08,78
2019-01-09,74
2019-01-10,71
2019-01-11,74
2019-01-12,62
2019-01-13,45
2019-01-14,51
2019-01-15,68
2019-01-16,62
2019-01-17,48
2019-01-18,73
2019-01-19,70
2019-01-20,67
2019-01-21,78
2019-01-22,82
2019-01-23,75
2019-01-24,72
2019-01-25,95
2019-01-26,59
2019-01-27,74
2019-01-28,88
2019-01-29,72
2019-01-30,93
2019-01-31,65
2019-02-01,69
2019-02-02,89
2019-02-03,90
2019-02-04,53
2019-02-05,54
2019-02-06,66
2019-02-07,70
2019-02-08,93
2019-02-09,64
2019-02-10,94
2019-02-11,79
2019-02-12,91
2019-02-13,69
2019-02-14,60
2019-02-15,100
2019-02-16,87
2019-02-17,89
2019-02-18,81
2019-02-19,78
2019-02-20,75
2019-02-21,93
2019-02-22,80
2019-02-23,91
2019-02-24,73
2019-02-25,65
2019-02-26,87
2019-02-27,63
2019-02-28,84
2019-03-01,69
2019-03-02,66
2019-03-03,42
2019-03-04,64
2019-03-05,34
2019-03-06,75
2019-03-07,99
2019-03-08,75
2019-03-09,69
2019-03-10,90
2019-03-11,76
2019-03-12,73
2019-03-13,70
2019-03-14,62
2019-03-15,79
2019-03-16,93
2019-03-17,78
2019-03-18,82
2019-03-19,85
2019-03-20,89
2019-03-21,88
2019-03-22,78
2019-03-23,100
2019-03-24,69
2019-03-25,69
2019-03-26,82
2019-03-27,79
2019-03-28,65
2019-03-29,44
2019-03-30,66
2019-03-31,62
2019-04-01,67
2019-04-02,78
2019-04-03,72
2019-04-04,53
2019-04-05,73
2019-04-06,87
2019-04-07,73
2019-04-08,67
2019-04-09,85
2019-04-10,58
