Categoría: Judaísmo

Día,Geo: Austria
2019-12-30,31
2019-12-31,44
2020-01-01,54
2020-01-02,57
2020-01-03,48
2020-01-04,43
2020-01-05,77
2020-01-06,56
2020-01-07,54
2020-01-08,71
2020-01-09,59
2020-01-10,68
2020-01-11,47
2020-01-12,50
2020-01-13,51
2020-01-14,54
2020-01-15,50
2020-01-16,65
2020-01-17,56
2020-01-18,47
2020-01-19,53
2020-01-20,55
2020-01-21,70
2020-01-22,72
2020-01-23,60
2020-01-24,67
2020-01-25,56
2020-01-26,66
2020-01-27,57
2020-01-28,68
2020-01-29,70
2020-01-30,54
2020-01-31,56
2020-02-01,51
2020-02-02,67
2020-02-03,71
2020-02-04,56
2020-02-05,34
2020-02-06,45
2020-02-07,59
2020-02-08,61
2020-02-09,63
2020-02-10,76
2020-02-11,70
2020-02-12,63
2020-02-13,54
2020-02-14,56
2020-02-15,67
2020-02-16,61
2020-02-17,58
2020-02-18,63
2020-02-19,50
2020-02-20,48
2020-02-21,60
2020-02-22,71
2020-02-23,56
2020-02-24,58
2020-02-25,50
2020-02-26,64
2020-02-27,71
2020-02-28,58
2020-02-29,54
2020-03-01,73
2020-03-02,62
2020-03-03,58
2020-03-04,61
2020-03-05,68
2020-03-06,58
2020-03-07,58
2020-03-08,63
2020-03-09,51
2020-03-10,64
2020-03-11,42
2020-03-12,57
2020-03-13,36
2020-03-14,53
2020-03-15,79
2020-03-16,50
2020-03-17,52
2020-03-18,54
2020-03-19,53
2020-03-20,51
2020-03-21,54
2020-03-22,69
2020-03-23,58
2020-03-24,54
2020-03-25,60
2020-03-26,74
2020-03-27,76
2020-03-28,86
2020-03-29,86
2020-03-30,67
2020-03-31,80
2020-04-01,58
2020-04-02,66
2020-04-03,81
2020-04-04,100
2020-04-05,98
2020-04-06,72
2020-04-07,57
