Categoría: Judaísmo

Día,Geo: Reino Unido
2019-12-30,41
2019-12-31,43
2020-01-01,42
2020-01-02,41
2020-01-03,43
2020-01-04,37
2020-01-05,45
2020-01-06,51
2020-01-07,61
2020-01-08,49
2020-01-09,44
2020-01-10,41
2020-01-11,41
2020-01-12,49
2020-01-13,38
2020-01-14,38
2020-01-15,39
2020-01-16,43
2020-01-17,38
2020-01-18,36
2020-01-19,42
2020-01-20,38
2020-01-21,39
2020-01-22,39
2020-01-23,40
2020-01-24,44
2020-01-25,42
2020-01-26,41
2020-01-27,43
2020-01-28,40
2020-01-29,43
2020-01-30,41
2020-01-31,40
2020-02-01,35
2020-02-02,36
2020-02-03,38
2020-02-04,36
2020-02-05,36
2020-02-06,40
2020-02-07,43
2020-02-08,36
2020-02-09,43
2020-02-10,42
2020-02-11,41
2020-02-12,44
2020-02-13,40
2020-02-14,34
2020-02-15,37
2020-02-16,38
2020-02-17,36
2020-02-18,39
2020-02-19,37
2020-02-20,46
2020-02-21,50
2020-02-22,45
2020-02-23,50
2020-02-24,43
2020-02-25,41
2020-02-26,39
2020-02-27,40
2020-02-28,37
2020-02-29,39
2020-03-01,47
2020-03-02,42
2020-03-03,40
2020-03-04,40
2020-03-05,43
2020-03-06,41
2020-03-07,41
2020-03-08,52
2020-03-09,48
2020-03-10,45
2020-03-11,41
2020-03-12,38
2020-03-13,41
2020-03-14,40
2020-03-15,48
2020-03-16,37
2020-03-17,39
2020-03-18,45
2020-03-19,41
2020-03-20,44
2020-03-21,41
2020-03-22,45
2020-03-23,44
2020-03-24,43
2020-03-25,43
2020-03-26,50
2020-03-27,100
2020-03-28,77
2020-03-29,75
2020-03-30,55
2020-03-31,56
2020-04-01,57
2020-04-02,59
2020-04-03,75
2020-04-04,67
2020-04-05,67
2020-04-06,62
2020-04-07,59
