Categoría: Judaísmo

Día,Geo: Países Bajos
2019-12-30,50
2019-12-31,48
2020-01-01,58
2020-01-02,47
2020-01-03,49
2020-01-04,53
2020-01-05,52
2020-01-06,51
2020-01-07,53
2020-01-08,51
2020-01-09,50
2020-01-10,54
2020-01-11,60
2020-01-12,67
2020-01-13,51
2020-01-14,58
2020-01-15,56
2020-01-16,49
2020-01-17,51
2020-01-18,54
2020-01-19,53
2020-01-20,48
2020-01-21,50
2020-01-22,53
2020-01-23,44
2020-01-24,53
2020-01-25,62
2020-01-26,64
2020-01-27,57
2020-01-28,57
2020-01-29,53
2020-01-30,44
2020-01-31,61
2020-02-01,49
2020-02-02,58
2020-02-03,54
2020-02-04,53
2020-02-05,47
2020-02-06,46
2020-02-07,53
2020-02-08,100
2020-02-09,82
2020-02-10,51
2020-02-11,53
2020-02-12,48
2020-02-13,54
2020-02-14,48
2020-02-15,47
2020-02-16,55
2020-02-17,52
2020-02-18,48
2020-02-19,48
2020-02-20,51
2020-02-21,45
2020-02-22,56
2020-02-23,64
2020-02-24,49
2020-02-25,48
2020-02-26,42
2020-02-27,43
2020-02-28,43
2020-02-29,45
2020-03-01,49
2020-03-02,44
2020-03-03,49
2020-03-04,56
2020-03-05,52
2020-03-06,58
2020-03-07,52
2020-03-08,56
2020-03-09,56
2020-03-10,51
2020-03-11,48
2020-03-12,39
2020-03-13,40
2020-03-14,49
2020-03-15,40
2020-03-16,32
2020-03-17,41
2020-03-18,42
2020-03-19,40
2020-03-20,47
2020-03-21,46
2020-03-22,42
2020-03-23,44
2020-03-24,43
2020-03-25,45
2020-03-26,54
2020-03-27,59
2020-03-28,57
2020-03-29,69
2020-03-30,72
2020-03-31,58
2020-04-01,57
2020-04-02,61
2020-04-03,61
2020-04-04,55
2020-04-05,60
2020-04-06,56
2020-04-07,60
