Categoría: Judaísmo

Semana,Geo: Francia
2018-12-30,35
2019-01-06,35
2019-01-13,34
2019-01-20,32
2019-01-27,32
2019-02-03,31
2019-02-10,38
2019-02-17,100
2019-02-24,36
2019-03-03,33
2019-03-10,40
2019-03-17,38
2019-03-24,33
2019-03-31,35
2019-04-07,32
2019-04-14,40
2019-04-21,30
2019-04-28,34
2019-05-05,36
2019-05-12,34
2019-05-19,34
2019-05-26,32
2019-06-02,32
2019-06-09,29
2019-06-16,29
2019-06-23,27
2019-06-30,28
2019-07-07,28
2019-07-14,29
2019-07-21,29
2019-07-28,26
2019-08-04,27
2019-08-11,28
2019-08-18,27
2019-08-25,29
2019-09-01,32
2019-09-08,28
2019-09-15,29
2019-09-22,32
2019-09-29,41
2019-10-06,37
2019-10-13,37
2019-10-20,34
2019-10-27,35
2019-11-03,35
2019-11-10,42
2019-11-17,33
2019-11-24,30
2019-12-01,31
2019-12-08,31
2019-12-15,33
2019-12-22,35
2019-12-29,36
2020-01-05,32
2020-01-12,31
2020-01-19,37
2020-01-26,45
2020-02-02,35
2020-02-09,32
2020-02-16,32
2020-02-23,37
2020-03-01,33
2020-03-08,32
2020-03-15,34
2020-03-22,40
2020-03-29,44
2020-04-05,44
