Categoría: Judaísmo

Semana,Geo: España
2018-12-30,50
2019-01-06,43
2019-01-13,47
2019-01-20,44
2019-01-27,46
2019-02-03,37
2019-02-10,44
2019-02-17,42
2019-02-24,45
2019-03-03,46
2019-03-10,48
2019-03-17,47
2019-03-24,46
2019-03-31,46
2019-04-07,50
2019-04-14,54
2019-04-21,55
2019-04-28,56
2019-05-05,52
2019-05-12,45
2019-05-19,43
2019-05-26,43
2019-06-02,46
2019-06-09,48
2019-06-16,38
2019-06-23,37
2019-06-30,37
2019-07-07,40
2019-07-14,45
2019-07-21,45
2019-07-28,45
2019-08-04,46
2019-08-11,47
2019-08-18,43
2019-08-25,48
2019-09-01,45
2019-09-08,45
2019-09-15,40
2019-09-22,38
2019-09-29,45
2019-10-06,49
2019-10-13,37
2019-10-20,47
2019-10-27,43
2019-11-03,45
2019-11-10,47
2019-11-17,47
2019-11-24,47
2019-12-01,44
2019-12-08,44
2019-12-15,47
2019-12-22,54
2019-12-29,53
2020-01-05,44
2020-01-12,48
2020-01-19,47
2020-01-26,53
2020-02-02,44
2020-02-09,42
2020-02-16,45
2020-02-23,44
2020-03-01,47
2020-03-08,42
2020-03-15,45
2020-03-22,47
2020-03-29,66
2020-04-05,100
