Categoría: Tradiciones paganas y esotéricas

Día,Geo: Austria
2018-12-30,77
2018-12-31,100
2019-01-01,96
2019-01-02,91
2019-01-03,97
2019-01-04,85
2019-01-05,100
2019-01-06,89
2019-01-07,78
2019-01-08,55
2019-01-09,61
2019-01-10,62
2019-01-11,61
2019-01-12,68
2019-01-13,76
2019-01-14,60
2019-01-15,58
2019-01-16,65
2019-01-17,60
2019-01-18,71
2019-01-19,55
2019-01-20,71
2019-01-21,60
2019-01-22,52
2019-01-23,43
2019-01-24,54
2019-01-25,68
2019-01-26,56
2019-01-27,59
2019-01-28,63
2019-01-29,95
2019-01-30,76
2019-01-31,75
2019-02-01,65
2019-02-02,61
2019-02-03,82
2019-02-04,67
2019-02-05,58
2019-02-06,57
2019-02-07,48
2019-02-08,63
2019-02-09,62
2019-02-10,53
2019-02-11,55
2019-02-12,68
2019-02-13,53
2019-02-14,46
2019-02-15,54
2019-02-16,52
2019-02-17,66
2019-02-18,59
2019-02-19,60
2019-02-20,53
2019-02-21,55
2019-02-22,56
2019-02-23,61
2019-02-24,52
2019-02-25,47
2019-02-26,53
2019-02-27,56
2019-02-28,52
2019-03-01,68
2019-03-02,51
2019-03-03,50
2019-03-04,58
2019-03-05,62
2019-03-06,67
2019-03-07,62
2019-03-08,41
2019-03-09,58
2019-03-10,61
2019-03-11,65
2019-03-12,51
2019-03-13,54
2019-03-14,67
2019-03-15,60
2019-03-16,59
2019-03-17,53
2019-03-18,67
2019-03-19,60
2019-03-20,59
2019-03-21,60
2019-03-22,46
2019-03-23,48
2019-03-24,61
2019-03-25,58
2019-03-26,60
2019-03-27,58
2019-03-28,51
2019-03-29,49
2019-03-30,48
2019-03-31,61
2019-04-01,58
2019-04-02,58
2019-04-03,46
2019-04-04,52
2019-04-05,42
2019-04-06,44
2019-04-07,66
2019-04-08,47
2019-04-09,51
2019-04-10,52
