Categoría: Tradiciones paganas y esotéricas

Día,Geo: Suiza
2018-12-30,68
2018-12-31,52
2019-01-01,100
2019-01-02,68
2019-01-03,66
2019-01-04,52
2019-01-05,78
2019-01-06,91
2019-01-07,55
2019-01-08,54
2019-01-09,61
2019-01-10,54
2019-01-11,51
2019-01-12,51
2019-01-13,61
2019-01-14,63
2019-01-15,47
2019-01-16,48
2019-01-17,60
2019-01-18,65
2019-01-19,56
2019-01-20,81
2019-01-21,49
2019-01-22,60
2019-01-23,53
2019-01-24,64
2019-01-25,56
2019-01-26,66
2019-01-27,56
2019-01-28,61
2019-01-29,72
2019-01-30,55
2019-01-31,59
2019-02-01,59
2019-02-02,58
2019-02-03,62
2019-02-04,58
2019-02-05,48
2019-02-06,54
2019-02-07,64
2019-02-08,69
2019-02-09,45
2019-02-10,56
2019-02-11,50
2019-02-12,57
2019-02-13,56
2019-02-14,57
2019-02-15,54
2019-02-16,49
2019-02-17,53
2019-02-18,64
2019-02-19,60
2019-02-20,58
2019-02-21,44
2019-02-22,48
2019-02-23,55
2019-02-24,52
2019-02-25,48
2019-02-26,59
2019-02-27,49
2019-02-28,44
2019-03-01,64
2019-03-02,60
2019-03-03,51
2019-03-04,49
2019-03-05,59
2019-03-06,71
2019-03-07,53
2019-03-08,61
2019-03-09,61
2019-03-10,52
2019-03-11,73
2019-03-12,55
2019-03-13,52
2019-03-14,60
2019-03-15,48
2019-03-16,51
2019-03-17,66
2019-03-18,36
2019-03-19,62
2019-03-20,65
2019-03-21,58
2019-03-22,52
2019-03-23,57
2019-03-24,56
2019-03-25,72
2019-03-26,50
2019-03-27,66
2019-03-28,57
2019-03-29,57
2019-03-30,37
2019-03-31,61
2019-04-01,54
2019-04-02,51
2019-04-03,64
2019-04-04,58
2019-04-05,55
2019-04-06,51
2019-04-07,59
2019-04-08,65
2019-04-09,53
2019-04-10,50
