Categoría: Tradiciones paganas y esotéricas

Día,Geo: Alemania
2018-12-30,74
2018-12-31,70
2019-01-01,95
2019-01-02,90
2019-01-03,83
2019-01-04,78
2019-01-05,75
2019-01-06,77
2019-01-07,75
2019-01-08,79
2019-01-09,69
2019-01-10,71
2019-01-11,85
2019-01-12,71
2019-01-13,72
2019-01-14,75
2019-01-15,73
2019-01-16,76
2019-01-17,75
2019-01-18,72
2019-01-19,74
2019-01-20,70
2019-01-21,79
2019-01-22,77
2019-01-23,75
2019-01-24,77
2019-01-25,76
2019-01-26,76
2019-01-27,72
2019-01-28,83
2019-01-29,81
2019-01-30,79
2019-01-31,82
2019-02-01,100
2019-02-02,91
2019-02-03,74
2019-02-04,80
2019-02-05,76
2019-02-06,75
2019-02-07,79
2019-02-08,74
2019-02-09,74
2019-02-10,71
2019-02-11,76
2019-02-12,76
2019-02-13,74
2019-02-14,74
2019-02-15,77
2019-02-16,71
2019-02-17,71
2019-02-18,78
2019-02-19,71
2019-02-20,67
2019-02-21,75
2019-02-22,76
2019-02-23,73
2019-02-24,72
2019-02-25,72
2019-02-26,75
2019-02-27,71
2019-02-28,68
2019-03-01,82
2019-03-02,74
2019-03-03,71
2019-03-04,84
2019-03-05,79
2019-03-06,73
2019-03-07,77
2019-03-08,73
2019-03-09,82
2019-03-10,77
2019-03-11,79
2019-03-12,77
2019-03-13,70
2019-03-14,71
2019-03-15,76
2019-03-16,78
2019-03-17,70
2019-03-18,76
2019-03-19,74
2019-03-20,78
2019-03-21,83
2019-03-22,74
2019-03-23,79
2019-03-24,71
2019-03-25,74
2019-03-26,76
2019-03-27,77
2019-03-28,78
2019-03-29,76
2019-03-30,67
2019-03-31,68
2019-04-01,74
2019-04-02,79
2019-04-03,75
2019-04-04,76
2019-04-05,80
2019-04-06,73
2019-04-07,71
2019-04-08,72
2019-04-09,80
2019-04-10,82
