Categoría: Tradiciones paganas y esotéricas

Día,Geo: Italia
2018-12-30,79
2018-12-31,74
2019-01-01,86
2019-01-02,82
2019-01-03,82
2019-01-04,80
2019-01-05,69
2019-01-06,71
2019-01-07,67
2019-01-08,62
2019-01-09,72
2019-01-10,65
2019-01-11,71
2019-01-12,76
2019-01-13,77
2019-01-14,68
2019-01-15,68
2019-01-16,64
2019-01-17,68
2019-01-18,72
2019-01-19,61
2019-01-20,70
2019-01-21,67
2019-01-22,69
2019-01-23,75
2019-01-24,67
2019-01-25,72
2019-01-26,67
2019-01-27,73
2019-01-28,68
2019-01-29,61
2019-01-30,81
2019-01-31,68
2019-02-01,74
2019-02-02,79
2019-02-03,80
2019-02-04,69
2019-02-05,65
2019-02-06,66
2019-02-07,65
2019-02-08,63
2019-02-09,64
2019-02-10,61
2019-02-11,69
2019-02-12,64
2019-02-13,66
2019-02-14,64
2019-02-15,64
2019-02-16,65
2019-02-17,67
2019-02-18,62
2019-02-19,62
2019-02-20,60
2019-02-21,61
2019-02-22,79
2019-02-23,75
2019-02-24,67
2019-02-25,65
2019-02-26,64
2019-02-27,63
2019-02-28,72
2019-03-01,70
2019-03-02,59
2019-03-03,63
2019-03-04,60
2019-03-05,73
2019-03-06,64
2019-03-07,60
2019-03-08,64
2019-03-09,61
2019-03-10,68
2019-03-11,67
2019-03-12,57
2019-03-13,61
2019-03-14,64
2019-03-15,66
2019-03-16,70
2019-03-17,76
2019-03-18,71
2019-03-19,74
2019-03-20,95
2019-03-21,100
2019-03-22,78
2019-03-23,78
2019-03-24,82
2019-03-25,71
2019-03-26,68
2019-03-27,68
2019-03-28,67
2019-03-29,60
2019-03-30,61
2019-03-31,70
2019-04-01,63
2019-04-02,63
2019-04-03,68
2019-04-04,70
2019-04-05,71
2019-04-06,74
2019-04-07,86
2019-04-08,71
2019-04-09,74
2019-04-10,70
