Categoría: Tradiciones paganas y esotéricas

Día,Geo: Bélgica
2019-12-30,72
2019-12-31,62
2020-01-01,66
2020-01-02,82
2020-01-03,81
2020-01-04,98
2020-01-05,71
2020-01-06,76
2020-01-07,66
2020-01-08,81
2020-01-09,87
2020-01-10,86
2020-01-11,77
2020-01-12,86
2020-01-13,67
2020-01-14,73
2020-01-15,75
2020-01-16,78
2020-01-17,77
2020-01-18,76
2020-01-19,53
2020-01-20,90
2020-01-21,90
2020-01-22,63
2020-01-23,100
2020-01-24,63
2020-01-25,67
2020-01-26,76
2020-01-27,86
2020-01-28,66
2020-01-29,79
2020-01-30,80
2020-01-31,71
2020-02-01,75
2020-02-02,92
2020-02-03,80
2020-02-04,65
2020-02-05,76
2020-02-06,78
2020-02-07,83
2020-02-08,76
2020-02-09,70
2020-02-10,80
2020-02-11,61
2020-02-12,81
2020-02-13,62
2020-02-14,80
2020-02-15,75
2020-02-16,76
2020-02-17,80
2020-02-18,77
2020-02-19,70
2020-02-20,70
2020-02-21,83
2020-02-22,79
2020-02-23,74
2020-02-24,76
2020-02-25,67
2020-02-26,66
2020-02-27,65
2020-02-28,68
2020-02-29,79
2020-03-01,82
2020-03-02,68
2020-03-03,65
2020-03-04,67
2020-03-05,78
2020-03-06,67
2020-03-07,69
2020-03-08,92
2020-03-09,78
2020-03-10,64
2020-03-11,80
2020-03-12,74
2020-03-13,67
2020-03-14,61
2020-03-15,61
2020-03-16,74
2020-03-17,64
2020-03-18,76
2020-03-19,69
2020-03-20,82
2020-03-21,93
2020-03-22,78
2020-03-23,73
2020-03-24,71
2020-03-25,67
2020-03-26,62
2020-03-27,66
2020-03-28,82
2020-03-29,76
2020-03-30,65
2020-03-31,74
2020-04-01,65
2020-04-02,72
2020-04-03,75
2020-04-04,81
2020-04-05,74
2020-04-06,72
2020-04-07,73
