Categoría: Tradiciones paganas y esotéricas

Día,Geo: Países Bajos
2019-12-30,70
2019-12-31,61
2020-01-01,57
2020-01-02,68
2020-01-03,63
2020-01-04,59
2020-01-05,75
2020-01-06,63
2020-01-07,64
2020-01-08,65
2020-01-09,59
2020-01-10,69
2020-01-11,66
2020-01-12,62
2020-01-13,67
2020-01-14,67
2020-01-15,61
2020-01-16,63
2020-01-17,69
2020-01-18,71
2020-01-19,69
2020-01-20,68
2020-01-21,68
2020-01-22,58
2020-01-23,66
2020-01-24,71
2020-01-25,53
2020-01-26,61
2020-01-27,74
2020-01-28,70
2020-01-29,68
2020-01-30,64
2020-01-31,65
2020-02-01,71
2020-02-02,78
2020-02-03,64
2020-02-04,100
2020-02-05,65
2020-02-06,74
2020-02-07,57
2020-02-08,76
2020-02-09,65
2020-02-10,68
2020-02-11,68
2020-02-12,58
2020-02-13,66
2020-02-14,64
2020-02-15,55
2020-02-16,64
2020-02-17,72
2020-02-18,59
2020-02-19,74
2020-02-20,62
2020-02-21,60
2020-02-22,59
2020-02-23,66
2020-02-24,56
2020-02-25,58
2020-02-26,59
2020-02-27,67
2020-02-28,88
2020-02-29,74
2020-03-01,62
2020-03-02,51
2020-03-03,56
2020-03-04,64
2020-03-05,57
2020-03-06,57
2020-03-07,50
2020-03-08,61
2020-03-09,69
2020-03-10,65
2020-03-11,58
2020-03-12,56
2020-03-13,58
2020-03-14,59
2020-03-15,61
2020-03-16,51
2020-03-17,52
2020-03-18,55
2020-03-19,56
2020-03-20,70
2020-03-21,67
2020-03-22,65
2020-03-23,70
2020-03-24,68
2020-03-25,60
2020-03-26,55
2020-03-27,57
2020-03-28,68
2020-03-29,60
2020-03-30,71
2020-03-31,69
2020-04-01,67
2020-04-02,90
2020-04-03,61
2020-04-04,68
2020-04-05,68
2020-04-06,73
2020-04-07,78
