Categoría: Tradiciones paganas y esotéricas

Semana,Geo: Francia
2018-12-30,86
2019-01-06,76
2019-01-13,75
2019-01-20,72
2019-01-27,72
2019-02-03,74
2019-02-10,69
2019-02-17,68
2019-02-24,71
2019-03-03,72
2019-03-10,77
2019-03-17,78
2019-03-24,69
2019-03-31,72
2019-04-07,68
2019-04-14,74
2019-04-21,67
2019-04-28,77
2019-05-05,78
2019-05-12,67
2019-05-19,68
2019-05-26,65
2019-06-02,70
2019-06-09,65
2019-06-16,66
2019-06-23,58
2019-06-30,59
2019-07-07,56
2019-07-14,61
2019-07-21,68
2019-07-28,54
2019-08-04,58
2019-08-11,59
2019-08-18,60
2019-08-25,66
2019-09-01,59
2019-09-08,67
2019-09-15,66
2019-09-22,71
2019-09-29,72
2019-10-06,77
2019-10-13,88
2019-10-20,77
2019-10-27,99
2019-11-03,81
2019-11-10,73
2019-11-17,80
2019-11-24,75
2019-12-01,100
2019-12-08,88
2019-12-15,83
2019-12-22,75
2019-12-29,75
2020-01-05,70
2020-01-12,71
2020-01-19,71
2020-01-26,75
2020-02-02,78
2020-02-09,75
2020-02-16,70
2020-02-23,68
2020-03-01,71
2020-03-08,68
2020-03-15,73
2020-03-22,78
2020-03-29,84
2020-04-05,83
