Categoría: Tradiciones paganas y esotéricas

Semana,Geo: Alemania
2018-12-30,91
2019-01-06,86
2019-01-13,86
2019-01-20,88
2019-01-27,95
2019-02-03,89
2019-02-10,88
2019-02-17,83
2019-02-24,85
2019-03-03,86
2019-03-10,86
2019-03-17,88
2019-03-24,86
2019-03-31,89
2019-04-07,88
2019-04-14,81
2019-04-21,87
2019-04-28,93
2019-05-05,91
2019-05-12,90
2019-05-19,93
2019-05-26,87
2019-06-02,90
2019-06-09,89
2019-06-16,90
2019-06-23,88
2019-06-30,88
2019-07-07,83
2019-07-14,85
2019-07-21,84
2019-07-28,83
2019-08-04,94
2019-08-11,98
2019-08-18,88
2019-08-25,89
2019-09-01,90
2019-09-08,91
2019-09-15,89
2019-09-22,85
2019-09-29,85
2019-10-06,82
2019-10-13,90
2019-10-20,85
2019-10-27,90
2019-11-03,86
2019-11-10,85
2019-11-17,100
2019-11-24,90
2019-12-01,91
2019-12-08,89
2019-12-15,88
2019-12-22,81
2019-12-29,85
2020-01-05,82
2020-01-12,84
2020-01-19,83
2020-01-26,91
2020-02-02,91
2020-02-09,86
2020-02-16,82
2020-02-23,85
2020-03-01,82
2020-03-08,86
2020-03-15,78
2020-03-22,70
2020-03-29,72
2020-04-05,68
