Categoría: Tradiciones paganas y esotéricas

Semana,Geo: España
2018-12-30,92
2019-01-06,78
2019-01-13,100
2019-01-20,73
2019-01-27,77
2019-02-03,67
2019-02-10,67
2019-02-17,65
2019-02-24,64
2019-03-03,62
2019-03-10,62
2019-03-17,66
2019-03-24,65
2019-03-31,64
2019-04-07,63
2019-04-14,64
2019-04-21,66
2019-04-28,60
2019-05-05,62
2019-05-12,61
2019-05-19,63
2019-05-26,64
2019-06-02,66
2019-06-09,70
2019-06-16,80
2019-06-23,85
2019-06-30,59
2019-07-07,62
2019-07-14,62
2019-07-21,63
2019-07-28,64
2019-08-04,63
2019-08-11,63
2019-08-18,63
2019-08-25,62
2019-09-01,61
2019-09-08,58
2019-09-15,57
2019-09-22,59
2019-09-29,61
2019-10-06,59
2019-10-13,58
2019-10-20,66
2019-10-27,79
2019-11-03,71
2019-11-10,58
2019-11-17,63
2019-11-24,61
2019-12-01,59
2019-12-08,68
2019-12-15,64
2019-12-22,67
2019-12-29,75
2020-01-05,63
2020-01-12,83
2020-01-19,65
2020-01-26,65
2020-02-02,64
2020-02-09,65
2020-02-16,57
2020-02-23,57
2020-03-01,63
2020-03-08,53
2020-03-15,61
2020-03-22,65
2020-03-29,69
2020-04-05,72
